V x y Q
0 136.0 9796.0 0
50 158.0 5805.0 0
51 274.33 6878.33 0
52 321.5 9410.5 0
50 158.0 5805.0 1
1 180.0 1814.0 1
53 343.5 5419.5 1
51 274.33 6878.33 1
53 343.5 5419.5 2
2 507.0 9025.0 2
52 321.5 9410.5 2
51 274.33 6878.33 2
3 905.0 9844.0 3
54 706.0 9434.5 3
55 530.67 6894.33 3
56 542.5 5829.0 3
54 706.0 9434.5 4
2 507.0 9025.0 4
53 343.5 5419.5 4
55 530.67 6894.33 4
53 343.5 5419.5 5
1 180.0 1814.0 5
56 542.5 5829.0 5
55 530.67 6894.33 5
3 905.0 9844.0 6
57 520.5 9820.0 6
58 516.0 9555.0 6
54 706.0 9434.5 6
57 520.5 9820.0 7
0 136.0 9796.0 7
52 321.5 9410.5 7
58 516.0 9555.0 7
52 321.5 9410.5 8
2 507.0 9025.0 8
54 706.0 9434.5 8
58 516.0 9555.0 8
4 963.0 6525.0 9
59 934.0 8184.5 9
60 682.67 6061.0 9
61 571.5 4169.5 9
59 934.0 8184.5 10
3 905.0 9844.0 10
56 542.5 5829.0 10
60 682.67 6061.0 10
56 542.5 5829.0 11
1 180.0 1814.0 11
61 571.5 4169.5 11
60 682.67 6061.0 11
5 1160.0 9226.0 12
62 1032.5 9535.0 12
63 1009.33 8531.67 12
64 1061.5 7875.5 12
62 1032.5 9535.0 13
3 905.0 9844.0 13
59 934.0 8184.5 13
63 1009.33 8531.67 13
59 934.0 8184.5 14
4 963.0 6525.0 14
64 1061.5 7875.5 14
63 1009.33 8531.67 14
6 1275.0 804.0 15
65 1119.0 3664.5 15
66 806.0 3047.67 15
67 727.5 1309.0 15
65 1119.0 3664.5 16
4 963.0 6525.0 16
61 571.5 4169.5 16
66 806.0 3047.67 16
61 571.5 4169.5 17
1 180.0 1814.0 17
67 727.5 1309.0 17
66 806.0 3047.67 17
6 1275.0 804.0 18
68 1217.5 5015.0 18
69 1132.67 5518.33 18
65 1119.0 3664.5 18
68 1217.5 5015.0 19
5 1160.0 9226.0 19
64 1061.5 7875.5 19
69 1132.67 5518.33 19
64 1061.5 7875.5 20
4 963.0 6525.0 20
65 1119.0 3664.5 20
69 1132.67 5518.33 20
7 1574.0 9998.0 21
70 1367.0 9612.0 21
71 1336.33 6676.0 21
72 1424.5 5401.0 21
70 1367.0 9612.0 22
5 1160.0 9226.0 22
68 1217.5 5015.0 22
71 1336.33 6676.0 22
68 1217.5 5015.0 23
6 1275.0 804.0 23
72 1424.5 5401.0 23
71 1336.33 6676.0 23
7 1574.0 9998.0 24
73 1239.5 9921.0 24
74 1213.0 9689.33 24
70 1367.0 9612.0 24
73 1239.5 9921.0 25
3 905.0 9844.0 25
62 1032.5 9535.0 25
74 1213.0 9689.33 25
62 1032.5 9535.0 26
5 1160.0 9226.0 26
70 1367.0 9612.0 26
74 1213.0 9689.33 26
7 1574.0 9998.0 27
75 855.0 9897.0 27
76 871.67 9879.33 27
73 1239.5 9921.0 27
75 855.0 9897.0 28
0 136.0 9796.0 28
57 520.5 9820.0 28
76 871.67 9879.33 28
57 520.5 9820.0 29
3 905.0 9844.0 29
73 1239.5 9921.0 29
76 871.67 9879.33 29
8 1799.0 1278.0 30
77 1686.5 5638.0 30
78 1549.33 4026.67 30
79 1537.0 1041.0 30
77 1686.5 5638.0 31
7 1574.0 9998.0 31
72 1424.5 5401.0 31
78 1549.33 4026.67 31
72 1424.5 5401.0 32
6 1275.0 804.0 32
79 1537.0 1041.0 32
78 1549.33 4026.67 32
9 1918.0 6999.0 33
80 1746.0 8498.5 33
81 1763.67 6091.67 33
82 1858.5 4138.5 33
80 1746.0 8498.5 34
7 1574.0 9998.0 34
77 1686.5 5638.0 34
81 1763.67 6091.67 34
77 1686.5 5638.0 35
8 1799.0 1278.0 35
82 1858.5 4138.5 35
81 1763.67 6091.67 35
10 1994.0 8195.0 36
83 1956.0 7597.0 36
84 1903.67 5490.67 36
