V x y Q
0 17.0 614.0 0
80 23.0 418.0 0
81 40.33 450.67 0
82 46.0 565.0 0
80 23.0 418.0 1
1 29.0 222.0 1
83 52.0 369.0 1
81 40.33 450.67 1
83 52.0 369.0 2
6 75.0 516.0 2
82 46.0 565.0 2
81 40.33 450.67 2
3 50.0 761.0 3
84 49.0 814.5 3
85 38.33 747.67 3
86 33.5 687.5 3
84 49.0 814.5 4
2 48.0 868.0 4
87 32.5 741.0 4
85 38.33 747.67 4
87 32.5 741.0 5
0 17.0 614.0 5
86 33.5 687.5 5
85 38.33 747.67 5
2 48.0 868.0 6
88 60.5 896.5 6
89 58.67 913.33 6
90 51.5 907.5 6
88 60.5 896.5 7
5 73.0 925.0 7
91 64.0 936.0 7
89 58.67 913.33 7
91 64.0 936.0 8
4 55.0 947.0 8
90 51.5 907.5 8
89 58.67 913.33 8
4 55.0 947.0 9
92 36.0 780.5 9
93 40.0 809.67 9
90 51.5 907.5 9
92 36.0 780.5 10
0 17.0 614.0 10
87 32.5 741.0 10
93 40.0 809.67 10
87 32.5 741.0 11
2 48.0 868.0 11
90 51.5 907.5 11
93 40.0 809.67 11
14 311.0 631.0 12
94 180.5 696.0 12
95 126.0 668.67 12
96 164.0 622.5 12
94 180.5 696.0 13
3 50.0 761.0 13
86 33.5 687.5 13
95 126.0 668.67 13
86 33.5 687.5 14
0 17.0 614.0 14
96 164.0 622.5 14
95 126.0 668.67 14
2 48.0 868.0 15
97 149.0 884.0 15
98 123.67 897.67 15
88 60.5 896.5 15
97 149.0 884.0 16
11 250.0 900.0 16
99 161.5 912.5 16
98 123.67 897.67 16
99 161.5 912.5 17
5 73.0 925.0 17
88 60.5 896.5 17
98 123.67 897.67 17
0 17.0 614.0 18
82 46.0 565.0 18
100 134.33 587.0 18
96 164.0 622.5 18
82 46.0 565.0 19
6 75.0 516.0 19
101 193.0 573.5 19
100 134.33 587.0 19
101 193.0 573.5 20
14 311.0 631.0 20
96 164.0 622.5 20
100 134.33 587.0 20
1 29.0 222.0 21
102 63.5 168.5 21
103 85.0 160.0 21
104 78.5 182.5 21
102 63.5 168.5 22
7 98.0 115.0 22
105 113.0 129.0 22
103 85.0 160.0 22
105 113.0 129.0 23
8 128.0 143.0 23
104 78.5 182.5 23
103 85.0 160.0 23
1 29.0 222.0 24
104 78.5 182.5 24
106 146.67 256.67 24
107 156.0 313.5 24
104 78.5 182.5 25
8 128.0 143.0 25
108 205.5 274.0 25
106 146.67 256.67 25
108 205.5 274.0 26
12 283.0 405.0 26
107 156.0 313.5 26
106 146.67 256.67 26
12 283.0 405.0 27
109 179.0 460.5 27
110 129.0 381.0 27
107 156.0 313.5 27
109 179.0 460.5 28
6 75.0 516.0 28
83 52.0 369.0 28
110 129.0 381.0 28
83 52.0 369.0 29
1 29.0 222.0 29
107 156.0 313.5 29
110 129.0 381.0 29
9 202.0 68.0 30
111 165.0 105.5 30
112 142.67 108.67 30
113 150.0 91.5 30
111 165.0 105.5 31
8 128.0 143.0 31
105 113.0 129.0 31
112 142.67 108.67 31
105 113.0 129.0 32
7 98.0 115.0 32
113 150.0 91.5 32
112 142.67 108.67 32
8 128.0 143.0 33
114 235.0 205.0 33
115 251.0 271.67 33
108 205.5 274.0 33
114 235.0 205.0 34
17 342.0 267.0 34
116 312.5 336.0 34
115 251.0 271.67 34
116 312.5 336.0 35
12 283.0 405.0 35
108 205.5 274.0 35
115 251.0 271.67 35
10 214.0 47.0 36
117 208.0 57.5 36
118 171.33 76.67 36
119 156.0 81.0 36
117 208.0 57.5 37
9 202.0 68.0 37
113 150.0 91.5 37
118 171.33 76.67 37
113 150.0 91.5 38
7 98.0 115.0 38
119 156.0 81.0 38
118 171.33 76.67 38
8 128.0 143.0 39
120 229.5 124.0 39
121 267.0 171.67 39
114 235.0 205.0 39
120 229.5 124.0 40
16 331.0 105.0 40
122 336.5 186.0 40
121 267.0 171.67 40
122 336.5 186.0 41
17 342.0 267.0 41
114 235.0 205.0 41
121 267.0 171.67 41
11 250.0 900.0 42
97 149.0 884.0 42
123 116.0 843.0 42
124 150.0 830.5 42
97 149.0 884.0 43
2 48.0 868.0 43
84 49.0 814.5 43
123 116.0 843.0 43
84 49.0 814.5 44
3 50.0 761.0 44
124 150.0 830.5 44
123 116.0 843.0 44
11 250.0 900.0 45
125 152.5 923.5 45
126 126.0 924.0 45
99 161.5 912.5 45
125 152.5 923.5 46
4 55.0 947.0 46
91 64.0 936.0 46
126 126.0 924.0 46
91 64.0 936.0 47
5 73.0 925.0 47
99 161.5 912.5 47
126 126.0 924.0 47
6 75.0 516.0 48
109 179.0 460.5 48
127 226.33 486.33 48
128 198.0 527.0 48
109 179.0 460.5 49
12 283.0 405.0 49
129 302.0 471.5 49
127 226.33 486.33 49
129 302.0 471.5 50
15 321.0 538.0 50
128 198.0 527.0 50
127 226.33 486.33 50
13 294.0 841.0 51
130 272.0 870.5 51
131 198.0 834.0 51
132 172.0 801.0 51
130 272.0 870.5 52
11 250.0 900.0 52
124 150.0 830.5 52
131 198.0 834.0 52
124 150.0 830.5 53
3 50.0 761.0 53
132 172.0 801.0 53
131 198.0 834.0 53
14 311.0 631.0 54
133 302.5 736.0 54
134 218.33 744.33 54
94 180.5 696.0 54
133 302.5 736.0 55
13 294.0 841.0 55
132 172.0 801.0 55
134 218.33 744.33 55
132 172.0 801.0 56
3 50.0 761.0 56
94 180.5 696.0 56
134 218.33 744.33 56
16 331.0 105.0 57
120 229.5 124.0 57
135 220.33 105.33 57
136 266.5 86.5 57
120 229.5 124.0 58
8 128.0 143.0 58
111 165.0 105.5 58
135 220.33 105.33 58
111 165.0 105.5 59
9 202.0 68.0 59
136 266.5 86.5 59
135 220.33 105.33 59
15 321.0 538.0 60
137 316.0 584.5 60
138 235.67 561.67 60
128 198.0 527.0 60
137 316.0 584.5 61
14 311.0 631.0 61
101 193.0 573.5 61
138 235.67 561.67 61
101 193.0 573.5 62
6 75.0 516.0 62
128 198.0 527.0 62
138 235.67 561.67 62
14 311.0 631.0 63
137 316.0 584.5 63
139 352.0 615.0 63
140 367.5 653.5 63
137 316.0 584.5 64
15 321.0 538.0 64
141 372.5 607.0 64
139 352.0 615.0 64
141 372.5 607.0 65
22 424.0 676.0 65
140 367.5 653.5 65
139 352.0 615.0 65
16 331.0 105.0 66
136 266.5 86.5 66
142 249.0 73.33 66
143 272.5 76.0 66
136 266.5 86.5 67
9 202.0 68.0 67
117 208.0 57.5 67
142 249.0 73.33 67
117 208.0 57.5 68
10 214.0 47.0 68
143 272.5 76.0 68
142 249.0 73.33 68
12 283.0 405.0 69
116 312.5 336.0 69
144 337.0 311.0 69
145 334.5 333.0 69
116 312.5 336.0 70
17 342.0 267.0 70
146 364.0 264.0 70
144 337.0 311.0 70
146 364.0 264.0 71
20 386.0 261.0 71
145 334.5 333.0 71
144 337.0 311.0 71
18 362.0 232.0 72
147 352.0 249.5 72
148 345.0 201.33 72
149 346.5 168.5 72
147 352.0 249.5 73
17 342.0 267.0 73
122 336.5 186.0 73
