t V0 V1 V2 t0 t1 t2
0 0 2 1 2 1 -1
1 3 1 2 2 3 0
2 3 0 1 1 49 0
3 4 3 2 4 6 1
4 5 4 2 5 3 -1
5 6 4 5 6 7 4
6 6 3 4 5 8 3
7 7 6 5 8 9 5
8 7 3 6 7 12 6
9 8 7 5 10 11 7
10 10 8 5 11 13 9
11 10 7 8 10 12 9
12 10 3 7 11 14 8
13 11 10 5 14 15 10
14 11 3 10 13 21 12
15 12 11 5 16 24 13
16 13 11 12 17 20 15
17 14 13 12 18 19 16
18 15 14 12 19 22 17
19 15 13 14 18 20 17
20 15 11 13 19 21 16
21 15 3 11 20 31 14
22 16 15 12 23 25 18
23 17 15 16 26 28 22
24 18 12 5 25 35 15
25 18 16 12 24 26 22
26 18 17 16 25 27 23
27 19 17 18 28 29 26
28 19 15 17 27 30 23
29 20 19 18 30 32 27
30 20 15 19 29 31 28
31 20 3 15 30 48 21
32 21 20 18 33 34 29
33 22 21 18 34 36 32
34 22 20 21 33 47 32
35 23 18 5 36 38 24
36 23 22 18 35 37 33
37 24 22 23 39 42 36
38 25 23 5 39 35 -1
39 25 24 23 38 40 37
40 26 24 25 41 43 39
41 27 24 26 42 44 40
42 27 22 24 41 46 37
43 28 26 25 44 50 40
44 28 27 26 43 45 41
45 29 27 28 46 51 44
46 29 22 27 45 47 42
47 29 20 22 46 48 34
48 29 3 20 47 49 31
49 29 0 3 48 53 2
50 30 28 25 51 68 43
51 30 29 28 50 52 45
52 31 29 30 53 54 51
53 31 0 29 52 49 -1
54 32 31 30 55 57 52
55 33 31 32 56 58 54
56 34 31 33 59 61 55
57 35 32 30 58 62 54
58 35 33 32 57 59 55
59 35 34 33 58 60 56
60 36 34 35 61 63 59
61 36 31 34 60 65 56
62 37 35 30 63 66 57
63 37 36 35 62 64 60
64 38 36 37 65 67 63
65 38 31 36 64 76 61
66 39 37 30 67 69 62
67 39 38 37 66 70 64
68 40 30 25 69 50 -1
69 40 39 30 68 70 66
70 40 38 39 69 71 67
71 41 38 40 72 73 70
72 42 41 40 73 74 71
73 42 38 41 72 75 71
74 43 42 40 75 77 72
75 43 38 42 74 76 73
76 43 31 38 75 65 -1
77 44 43 40 78 79 74
78 45 44 40 79 81 77
79 45 43 44 78 80 77
80 46 43 45 82 83 79
81 47 45 40 82 85 78
82 47 46 45 81 83 80
83 47 43 46 82 84 80
84 48 43 47 86 88 83
85 49 47 40 86 91 81
86 49 48 47 85 87 84
87 50 48 49 88 89 86
88 50 43 48 87 90 84
89 51 50 49 90 92 87
90 51 43 50 89 102 88
91 52 49 40 92 95 85
92 52 51 49 91 93 89
93 53 51 52 94 96 92
94 54 51 53 97 99 93
95 55 52 40 96 91 -1
96 55 53 52 95 97 93
97 55 54 53 96 98 94
98 56 54 55 99 100 97
99 56 51 54 98 101 94
100 57 56 55 101 103 98
101 57 51 56 100 102 99
102 57 43 51 101 90 -1
103 58 57 55 104 105 100
104 59 58 55 105 103 -1
105 59 57 58 104 103 -1
