t V0 V1 V2 t0 t1 t2
0 0 1 3 1 21 3
1 3 2 0 0 4 -1
2 2 5 11 4 12 17
3 3 1 8 0 8 23
4 5 2 3 2 18 1
5 4 7 6 7 16 -1
6 3 14 15 8 18 27
7 4 9 7 5 9 11
8 3 8 14 3 6 25
9 9 4 2 7 12 -1
10 9 11 10 11 12 13
11 10 7 9 10 15 7
12 11 9 2 2 10 9
13 10 11 17 10 26 14
14 11 13 17 13 17 37
15 12 7 10 16 26 11
16 12 6 7 15 35 5
17 13 11 5 14 20 2
18 15 5 3 6 19 4
19 5 15 19 18 20 31
20 19 13 5 19 29 17
21 16 1 0 22 38 0
22 1 16 18 21 23 39
23 18 8 1 22 24 3
24 8 18 29 23 40 30
25 20 14 8 28 40 8
26 17 12 10 13 34 15
27 21 15 14 28 31 6
28 14 20 21 25 27 48
29 13 19 25 20 41 44
30 18 24 29 24 39 50
31 21 19 15 27 32 19
32 19 21 28 31 46 48
33 17 23 26 37 43 54
34 22 12 17 35 43 26
35 22 6 12 34 16 -1
36 20 29 30 40 49 57
37 23 17 13 33 41 14
38 24 16 0 39 21 -1
39 24 18 16 30 38 22
40 29 20 8 24 36 25
41 25 23 13 29 42 37
42 23 25 32 41 54 59
43 26 22 17 33 61 34
44 27 25 19 45 46 29
45 25 27 31 44 52 56
46 28 27 19 32 47 44
47 27 28 33 46 56 55
48 28 21 20 32 49 28
49 30 28 20 36 51 48
50 29 24 37 30 63 103
51 28 30 34 49 55 68
52 25 31 39 45 59 73
53 31 33 36 56 62 58
54 32 26 23 42 60 33
55 34 33 28 51 58 47
56 33 31 27 47 53 45
57 40 30 29 63 64 36
58 33 34 36 53 55 70
59 39 32 25 52 67 42
60 35 26 32 61 74 54
61 35 22 26 60 80 43
62 31 36 47 53 73 86
63 29 37 40 50 57 91
64 30 40 38 57 68 69
65 34 38 41 66 68 76
66 34 41 42 65 70 77
67 32 39 43 59 74 81
68 38 34 30 64 65 51
69 38 40 44 64 76 75
70 42 36 34 66 84 58
71 41 44 48 76 77 92
72 36 49 51 84 86 96
73 47 39 31 62 82 52
74 43 35 32 67 79 60
75 40 52 44 69 91 85
76 44 41 38 69 71 65
77 48 42 41 71 83 66
78 43 46 45 79 81 108
79 45 35 43 78 80 74
80 45 22 35 79 114 61
81 46 43 39 78 87 67
82 39 47 50 73 87 94
83 42 48 49 77 84 89
84 49 36 42 72 83 70
85 44 52 55 75 92 101
86 51 47 36 72 90 62
87 50 46 39 82 88 81
88 46 50 59 87 108 115
89 55 49 48 92 98 83
90 47 51 54 86 93 99
91 52 40 37 75 104 63
92 55 48 44 85 89 71
93 54 53 47 90 97 94
94 53 50 47 93 95 82
95 53 63 50 94 97 115
96 57 51 49 98 102 72
97 63 53 54 95 100 93
98 49 55 57 89 96 106
99 56 54 51 100 102 90
100 63 54 56 97 107 99
101 55 52 61 85 110 105
102 57 56 51 96 107 99
103 58 37 24 104 118 50
104 58 52 37 103 105 91
105 52 58 61 101 104 119
106 60 57 55 109 110 98
107 63 56 57 100 116 102
108 59 45 46 88 113 78
109 57 60 77 106 116 144
110 61 60 55 101 111 106
111 60 61 87 110 144 131
112 59 63 67 115 123 139
113 62 45 59 114 122 108
114 62 22 45 113 80 -1
115 63 59 50 95 112 88
116 77 63 57 109 124 107
117 59 64 69 123 127 125
118 65 58 24 119 103 -1
119 65 61 58 118 120 105
120 61 65 74 119 131 133
121 64 67 68 123 125 140
122 66 62 59 127 130 113
123 67 64 59 112 121 117
124 63 77 76 116 135 160
125 64 68 69 117 121 126
126 80 69 68 147 148 125
127 69 66 59 117 128 122
128 66 69 70 127 130 129
129 71 70 69 132 137 128
130 70 62 66 128 132 122
131 61 74 87 111 120 161
132 71 62 70 129 138 130
133 65 72 74 120 141 142
134 68 79 81 146 147 149
135 63 76 73 124 139 136
136 73 76 84 135 154 158
137 71 69 85 129 152 148
138 75 62 71 152 132 -1
139 73 67 63 135 140 112
140 73 68 67 139 146 121
141 78 72 65 142 133 -1
142 78 74 72 141 143 133
143 74 78 88 142 161 -1
144 87 77 60 111 145 109
145 77 87 86 144 160 163
146 79 68 73 134 150 140
147 81 80 68 134 156 126
148 69 80 85 126 137 156
149 79 82 81 134 150 151
150 82 79 73 149 154 146
151 81 82 89 149 159 155
152 85 75 71 137 153 138
153 75 85 83 152 164 -1
154 73 84 82 136 150 155
155 84 89 82 154 158 151
156 85 80 81 148 159 147
157 76 86 89 158 160 163
158 89 84 76 155 157 136
159 89 85 81 151 164 156
160 86 76 77 145 157 124
161 88 87 74 143 162 131
162 87 88 89 161 163 -1
163 89 86 87 157 162 145
164 89 83 85 159 153 -1
