V x y t
0 16 339 0
1 17 178 0
2 25 775 0
3 48 711 1
2 25 775 1
1 17 178 1
4 78 47 2
3 48 711 2
1 17 178 2
5 79 313 3
3 48 711 3
4 78 47 3
6 114 307 4
5 79 313 4
4 78 47 4
6 114 307 5
3 48 711 5
5 79 313 5
7 131 969 6
3 48 711 6
6 114 307 6
7 131 969 7
2 25 775 7
3 48 711 7
8 142 835 8
7 131 969 8
6 114 307 8
9 146 826 9
8 142 835 9
6 114 307 9
9 146 826 10
7 131 969 10
8 142 835 10
10 156 440 11
6 114 307 11
4 78 47 11
10 156 440 12
9 146 826 12
6 114 307 12
11 164 224 13
10 156 440 13
4 78 47 13
11 164 224 14
9 146 826 14
10 156 440 14
12 218 714 15
9 146 826 15
11 164 224 15
12 218 714 16
7 131 969 16
9 146 826 16
13 225 200 17
11 164 224 17
4 78 47 17
13 225 200 18
12 218 714 18
11 164 224 18
14 237 205 19
13 225 200 19
4 78 47 19
14 237 205 20
12 218 714 20
13 225 200 20
15 238 503 21
12 218 714 21
14 237 205 21
16 247 774 22
15 238 503 22
14 237 205 22
16 247 774 23
12 218 714 23
15 238 503 23
16 247 774 24
7 131 969 24
12 218 714 24
17 258 884 25
16 247 774 25
14 237 205 25
17 258 884 26
7 131 969 26
16 247 774 26
18 270 600 27
17 258 884 27
14 237 205 27
19 278 943 28
17 258 884 28
18 270 600 28
19 278 943 29
7 131 969 29
17 258 884 29
20 288 216 30
14 237 205 30
4 78 47 30
20 288 216 31
18 270 600 31
14 237 205 31
20 288 216 32
19 278 943 32
18 270 600 32
21 292 196 33
20 288 216 33
4 78 47 33
21 292 196 34
19 278 943 34
20 288 216 34
22 297 303 35
19 278 943 35
21 292 196 35
23 303 395 36
22 297 303 36
21 292 196 36
23 303 395 37
19 278 943 37
22 297 303 37
24 311 498 38
23 303 395 38
21 292 196 38
24 311 498 39
19 278 943 39
23 303 395 39
25 327 762 40
19 278 943 40
24 311 498 40
26 344 853 41
24 311 498 41
21 292 196 41
26 344 853 42
25 327 762 42
24 311 498 42
26 344 853 43
19 278 943 43
25 327 762 43
27 347 551 44
26 344 853 44
21 292 196 44
28 363 151 45
21 292 196 45
4 78 47 45
28 363 151 46
27 347 551 46
21 292 196 46
28 363 151 47
26 344 853 47
27 347 551 47
29 365 145 48
28 363 151 48
4 78 47 48
29 365 145 49
26 344 853 49
28 363 151 49
30 375 790 50
26 344 853 50
29 365 145 50
31 378 207 51
30 375 790 51
29 365 145 51
32 386 324 52
30 375 790 52
31 378 207 52
33 408 866 53
30 375 790 53
32 386 324 53
33 408 866 54
26 344 853 54
30 375 790 54
33 408 866 55
19 278 943 55
26 344 853 55
34 409 421 56
32 386 324 56
31 378 207 56
34 409 421 57
33 408 866 57
32 386 324 57
35 417 706 58
33 408 866 58
34 409 421 58
36 439 337 59
31 378 207 59
29 365 145 59
36 439 337 60
34 409 421 60
31 378 207 60
36 439 337 61
35 417 706 61
34 409 421 61
36 439 337 62
33 408 866 62
35 417 706 62
37 453 366 63
36 439 337 63
29 365 145 63
