V x y t
1 17 178 0
5 79 313 0
0 16 339 0
3 48 711 1
2 25 775 1
0 16 339 1
1 17 178 2
11 164 224 2
5 79 313 2
0 16 339 3
5 79 313 3
10 156 440 3
11 164 224 4
1 17 178 4
4 78 47 4
5 79 313 5
6 114 307 5
10 156 440 5
2 25 775 6
9 146 826 6
8 142 835 6
2 25 775 7
8 142 835 7
7 131 969 7
9 146 826 8
2 25 775 8
3 48 711 8
3 48 711 9
10 156 440 9
15 238 503 9
8 142 835 10
9 146 826 10
17 258 884 10
11 164 224 11
14 237 205 11
6 114 307 11
10 156 440 12
3 48 711 12
0 16 339 12
11 164 224 13
6 114 307 13
5 79 313 13
14 237 205 14
11 164 224 14
13 225 200 14
12 218 714 15
9 146 826 15
3 48 711 15
9 146 826 16
12 218 714 16
16 247 774 16
13 225 200 17
11 164 224 17
4 78 47 17
6 114 307 18
14 237 205 18
20 288 216 18
14 237 205 19
13 225 200 19
21 292 196 19
6 114 307 20
20 288 216 20
22 297 303 20
3 48 711 21
15 238 503 21
18 270 600 21
18 270 600 22
12 218 714 22
3 48 711 22
12 218 714 23
18 270 600 23
25 327 762 23
9 146 826 24
16 247 774 24
17 258 884 24
25 327 762 25
16 247 774 25
12 218 714 25
17 258 884 26
7 131 969 26
8 142 835 26
10 156 440 27
22 297 303 27
23 303 395 27
16 247 774 28
25 327 762 28
26 344 853 28
19 278 943 29
7 131 969 29
17 258 884 29
21 292 196 30
20 288 216 30
14 237 205 30
22 297 303 31
10 156 440 31
6 114 307 31
23 303 395 32
15 238 503 32
10 156 440 32
21 292 196 33
29 365 145 33
13 225 200 33
21 292 196 34
31 378 207 34
20 288 216 34
15 238 503 35
23 303 395 35
24 311 498 35
22 297 303 36
20 288 216 36
31 378 207 36
24 311 498 37
18 270 600 37
15 238 503 37
31 378 207 38
21 292 196 38
28 363 151 38
18 270 600 39
24 311 498 39
27 347 551 39
26 344 853 40
17 258 884 40
16 247 774 40
18 270 600 41
27 347 551 41
35 417 706 41
35 417 706 42
25 327 762 42
18 270 600 42
26 344 853 43
19 278 943 43
17 258 884 43
24 311 498 44
23 303 395 44
34 409 421 44
29 365 145 45
28 363 151 45
21 292 196 45
32 386 324 46
23 303 395 46
22 297 303 46
31 378 207 47
32 386 324 47
22 297 303 47
29 365 145 48
13 225 200 48
4 78 47 48
31 378 207 49
28 363 151 49
29 365 145 49
30 375 790 50
26 344 853 50
25 327 762 50
23 303 395 51
32 386 324 51
34 409 421 51
34 409 421 52
27 347 551 52
24 311 498 52
35 417 706 53
30 375 790 53
25 327 762 53
33 408 866 54
26 344 853 54
30 375 790 54
33 408 866 55
19 278 943 55
26 344 853 55
32 386 324 56
36 439 337 56
