0 2 4
1 4 7
3 0 1
4 1 0
2 5 8
6 4 2
4 6 10
14 2 8
1 7 11
8 12 14
8 5 12
10 7 4
7 10 13
14 10 6
11 3 1
14 6 2
13 11 7
10 14 21
16 13 10
13 16 17
15 11 13
15 3 11
14 18 24
17 15 13
12 23 18
18 14 12
21 16 10
19 17 16
17 19 22
22 19 16
20 15 17
20 15 31
16 21 34
24 21 14
22 20 17
12 25 23
18 23 32
21 24 27
25 12 5
23 25 26
23 26 32
24 28 35
21 27 37
26 30 40
28 24 18
35 27 24
21 36 34
29 20 22
31 20 29
31 3 15
30 26 25
32 28 18
38 29 22
31 0 3
28 32 33
28 33 35
22 34 38
26 40 41
33 32 41
27 35 39
34 22 16
34 36 50
39 37 27
37 36 21
43 38 34
38 31 29
35 33 44
39 46 37
40 30 25
41 32 26
33 41 44
39 44 42
41 40 47
46 39 42
42 44 46
36 46 50
43 31 38
44 39 35
41 45 44
45 48 44
46 36 37
47 45 41
45 49 53
48 46 44
46 48 54
49 47 55
49 45 47
54 50 46
50 43 34
53 48 45
51 43 50
55 52 49
49 52 53
48 53 58
50 54 56
55 47 40
52 55 58
58 53 52
59 54 48
50 56 57
59 56 54
57 51 50
57 43 51
48 58 59
59 58 55
59 57 56
