Distance V0 V1 t0 t1
7669.067348771949 46 6 82 86
4775.626660449914 1 4 0 14
4559.372763878821 25 46 79 82
4201.494138993889 25 44 66 79
3655.7051303407934 1 14 10 14
3394.9758467476613 23 37 62 65
3373.9250139859364 0 4 0 3
3371.7017958295182 37 29 65 78
3255.2385473264476 25 6 41 82
3165.691235733517 23 36 48 62
3130.2953534770486 19 32 43 47
3095.498667420162 26 7 45 50
3028.3969356740536 38 25 66 67
2929.546381267926 14 4 14 19
2855.349015444522 49 45 85 89
2845.9364012570627 23 30 44 48
2775.4329392006575 48 47 87 88
2676.6116640259943 25 8 34 41
2644.9621925464266 32 24 47 54
2541.2469380207817 2 4 1 3
2540.3568646944077 39 49 72 85
2504.9241505482755 25 11 34 35
2461.3689280560925 46 47 83 87
2445.007361952107 24 23 37 44
2404.2337656725476 19 24 29 47
2327.0122474967766 44 47 80 83
2323.8218520359947 19 28 32 43
2219.6326272606466 28 32 43 56
2212.9134641914948 1 11 6 10
2066.7505896938796 45 43 77 89
2047.4105597070659 40 33 63 70
2037.1462883160846 17 23 33 38
2022.0212659613646 28 33 51 56
1985.2881402960127 19 22 32 36
1980.0608576505927 13 24 29 40
1962.615856452811 4 10 1 11
1940.1085021204353 42 47 75 80
1929.628461647475 32 30 54 55
1928.0383813607032 13 4 12 19
1925.8860298574266 37 43 77 78
1922.503836147018 40 31 63 68
1901.9405879259216 39 37 64 81
1894.7548654113543 33 41 70 71
1882.4252973225791 45 39 81 85
1876.1263283691746 5 18 13 28
1875.5825761613378 18 7 28 31
1873.478048977356 13 21 25 40
1861.1958521337835 11 22 22 35
1833.815966775292 40 47 75 76
1818.0346531350829 11 14 10 18
1811.063775795872 33 39 57 71
1800.9741808254773 20 7 31 45
1793.9999999999998 21 23 33 37
1773.0259445366275 31 25 52 67
1735.293923230298 41 49 72 84
1729.8268699497066 47 41 76 84
1705.4198896459486 1 8 5 6
1702.9588955697081 2 10 1 7
1691.4969701421282 39 36 61 64
1663.6204495016282 32 39 57 69
1631.5529412188866 13 9 12 17
1602.0839553531519 37 45 77 81
1599.4227083544863 38 31 67 68
1574.40687244435 38 44 66 73
1551.04642096876 13 12 17 25
1500.8814077068182 31 33 51 63
1491.7707598689553 18 23 30 38
1481.7084733509491 20 26 39 45
1469.2300704790928 17 18 26 38
1459.7862857281543 41 39 71 72
1452.2072854795902 31 27 52 53
1399.266236282431 39 34 60 61
1397.8361849658922 23 20 30 39
1387.5997261458363 15 22 23 36
1382.3751299846217 8 11 6 34
1358.0033136925697 13 19 20 29
1326.0908716977128 10 5 7 13
1321.209294547991 10 17 16 26
1294.4141531982723 29 23 49 65
1293.0870040333712 39 35 60 69
1288.6849886609218 30 35 55 59
1288.306252410505 28 31 51 53
1280.4346918136825 22 16 22 23
1274.6521094008356 12 10 15 16
1251.2593655993148 14 13 19 20
1198.4122829811115 9 10 11 15
1193.3385940293729 25 22 35 42
1178.9253581122089 12 21 25 27
1129.8623810004472 24 30 44 54
1127.6067576952526 10 18 13 26
1096.8646224580316 42 40 74 75
1092.2861346735112 15 14 18 24
1066.1618076070818 4 9 11 12
1059.2044184197873 40 41 70 76
1055.8049062208415 19 15 24 36
1052.110735616741 21 24 37 40
1031.3607516286434 30 36 48 58
1015.3698833430111 34 36 58 61
1010.4617756253821 30 34 58 59
1009.2938125243809 22 27 42 46
986.6635698149597 48 46 86 87
964.8067163945325 36 37 62 64
910.5849768143552 3 2 2 4
910.3779434937998 47 49 84 88
887.4666190905435 11 15 18 21
876.0022831020476 7 5 8 28
874.5427376635174 21 17 27 33
869.8419396649025 44 42 73 80
863.1876968539345 27 28 46 53
855.617905375992 0 2 2 3
845.256174186264 38 40 68 74
824.7114646953806 32 35 55 69
822.217732720476 42 38 73 74
770.4965931138179 3 0 2 9
768.600026021337 29 26 49 50
763.2889361179028 23 26 39 49
755.1138986934355 11 16 21 22
706.5776673515799 6 8 5 41
686.496176245724 7 3 8 9
683.2349522675198 5 2 4 7
682.9128787773737 12 9 15 17
668.5424444266797 5 3 4 8
573.3489338962792 22 28 32 46
418.2941548719035 18 20 30 31
417.3978917052649 46 44 79 83
409.8829101097044 12 17 16 27
356.9103528899098 33 32 56 57
356.67492202284143 25 27 42 52
317.37044600907626 35 34 59 60
235.4782367863323 16 15 21 23
213.4314878362609 14 19 20 24
