Distance V0 V1 t0 t1
955.8765610684259 40 38 70 71
937.8534000578129 43 40 74 77
897.045149365404 31 30 52 54
870.0206894091658 30 29 51 52
856.2826636105626 57 55 100 103
817.5402130782314 47 43 83 84
754.4693499407382 11 5 13 15
748.0761993273146 41 38 71 73
728.0439547170213 45 43 79 80
708.0063559036741 32 31 54 55
693.0007215003459 15 12 18 22
686.3526790215072 51 49 89 92
677.2665649506109 52 51 92 93
657.3682377480676 53 51 93 94
652.1962894711991 56 55 98 100
651.0276491824292 7 5 7 9
650.0123075757874 33 31 55 56
648.0123455614098 20 18 29 32
646.0007739933443 23 22 36 37
644.2515036847024 12 11 15 16
624.3756881878089 48 43 84 88
621.0 29 28 45 51
616.0202918735713 50 49 87 89
614.0008143317075 13 12 16 17
609.1387362497973 55 54 97 98
608.185004747733 58 57 103 105
600.0208329716561 44 43 77 79
586.4912616569832 18 17 26 27
577.2806942900481 5 4 4 5
576.531872492753 22 18 33 36
567.9595055987706 3 2 1 3
561.5870368874267 42 38 73 75
561.3243269269559 10 5 10 13
560.003571417183 19 18 27 29
551.2939324897382 39 38 67 70
540.0712915902863 43 42 74 75
533.0 8 7 9 11
527.0607175648742 29 27 45 46
516.7591315109971 2 1 0 1
483.2990792459675 29 0 49 53
481.8142795725341 37 30 62 66
481.27435003332556 16 12 22 25
472.0 6 5 5 7
452.5980556741268 15 14 18 19
449.18815656693357 46 43 80 83
443.42417615642023 10 8 10 11
441.81444068749045 54 53 94 97
435.7177985806868 24 22 37 42
431.18905366439907 18 16 25 26
428.1413318052813 50 48 87 88
423.0579156569464 34 33 56 59
415.1301000891167 27 22 42 46
406.7247226319049 40 39 69 70
400.00124999804683 35 34 59 60
398.0452235613436 42 40 72 74
398.01130637206774 38 37 64 67
388.0115977648091 25 24 39 40
375.9707435426326 14 13 17 19
370.3970842217849 47 46 82 83
369.0216795799401 21 20 32 34
368.6651597317002 6 3 6 8
367.03405836516043 29 3 48 49
342.52737116907895 36 35 60 63
339.99117635609315 44 40 77 78
334.0733452402331 39 30 66 69
316.76489704511135 28 25 43 50
309.0711892105119 4 2 3 4
297.94630388712665 22 21 33 34
296.94612305938597 10 3 12 14
292.5149568825499 23 5 35 38
286.6810073932349 36 31 61 65
282.766688278517 20 3 31 48
280.40149785619906 18 5 24 35
279.11467177488174 21 18 32 33
279.0447992706547 46 45 80 82
270.8154353060402 35 30 57 62
270.06665843824555 27 26 41 44
265.42418879973997 38 36 64 65
262.5509474368737 4 3 3 6
250.74489027695063 58 55 103 104
249.07227866625382 30 28 50 51
248.24383174612822 26 24 40 41
244.75293665245368 15 3 21 31
240.634577731464 14 12 17 18
227.26636354727023 34 31 56 61
225.68340656769607 54 51 94 99
224.89108474992955 52 40 91 95
216.02083232873628 16 15 22 23
214.7091055358389 50 43 88 90
214.44113411377026 45 40 78 81
212.3605424743495 24 23 37 39
211.28653530218153 37 35 62 63
209.0023923308056 41 40 71 72
204.0882162203394 57 56 100 101
196.4306493396588 48 47 84 86
196.3593644316461 56 51 99 101
193.14502323383846 11 10 13 14
192.4188140489386 7 3 8 12
189.38056922503958 32 30 54 57
189.06612599828665 42 41 72 73
188.1116689628796 49 40 85 91
188.0957203128237 49 48 86 87
179.10053042914194 7 6 7 8
179.04747973652127 25 23 38 39
177.11578134090706 55 53 96 97
176.555940143627 28 26 43 44
169.07099100673656 47 40 81 85
167.59773268156107 51 43 90 102
159.705979850474 40 30 68 69
159.17600321656528 55 52 95 96
156.2049935181331 17 16 23 26
154.43445211480503 39 37 66 67
147.0034013211939 11 3 14 21
145.72576985557495 12 5 15 24
145.33065746772084 18 12 24 25
140.22838514366484 26 25 40 43
133.5402561027947 37 36 63 64
129.65338406690356 15 11 20 21
128.03515142334936 45 44 78 79
126.88971589533962 43 38 75 76
125.92458060283545 15 13 19 20
124.48293055676348 29 22 46 47
118.15244390193543 8 5 9 10
116.619037896906 3 0 2 49
109.63576058932595 47 45 81 82
108.04628637764465 10 7 11 12
106.53168542738821 6 4 5 6
101.5332457867865 57 51 101 102
97.08243919473799 29 20 47 48
94.33981132056604 28 27 44 45
93.62157870918436 19 15 28 30
88.02272433866156 20 19 29 30
83.63013810822028 0 1 0 2
83.00602387778854 23 18 35 36
82.29823813423954 22 20 34 47
81.49846624323675 35 32 57 58
79.51100552753688 3 1 1 2
72.61542535852833 30 25 50 68
72.03471385380801 51 50 89 90
61.351446600711874 36 34 60 61
61.0 17 15 23 28
58.008620049092706 33 32 55 58
51.86520991955976 56 54 98 99
50.159744815937806 38 31 65 76
41.97618372363071 52 49 91 92
39.05124837953328 20 15 30 31
36.76955262170048 19 17 27 28
35.51056180912941 13 11 16 20
32.64965543462902 59 58 104 105
30.886890422961002 31 29 52 53
27.80287754891569 27 24 41 42
24.351591323771842 35 33 58 59
20.6155281280883 49 47 85 86
20.223748416156685 53 52 93 96
