V x y Q
7 1574.0 9998.0 0
50 1367.0 9612.0 0
51 1452.0 5326.5 0
52 1686.5 5638.0 0
50 1367.0 9612.0 1
5 1160.0 9226.0 1
53 1217.5 5015.0 1
51 1452.0 5326.5 1
53 1217.5 5015.0 2
6 1275.0 804.0 2
54 1537.0 1041.0 2
51 1452.0 5326.5 2
54 1537.0 1041.0 3
8 1799.0 1278.0 3
52 1686.5 5638.0 3
51 1452.0 5326.5 3
3 905.0 9844.0 4
55 706.0 9434.5 4
56 638.75 6802.0 4
57 934.0 8184.5 4
55 706.0 9434.5 5
2 507.0 9025.0 5
58 343.5 5419.5 5
56 638.75 6802.0 5
58 343.5 5419.5 6
1 180.0 1814.0 6
59 571.5 4169.5 6
56 638.75 6802.0 6
59 571.5 4169.5 7
4 963.0 6525.0 7
57 934.0 8184.5 7
56 638.75 6802.0 7
26 4610.0 9394.0 8
60 4539.5 7797.0 8
61 4555.5 4681.0 8
62 4640.5 5553.5 8
60 4539.5 7797.0 9
24 4469.0 6200.0 9
63 4470.5 3808.5 9
61 4555.5 4681.0 9
63 4470.5 3808.5 10
25 4472.0 1417.0 10
64 4571.5 1565.0 10
61 4555.5 4681.0 10
64 4571.5 1565.0 11
27 4671.0 1713.0 11
62 4640.5 5553.5 11
61 4555.5 4681.0 11
29 5355.0 9583.0 12
65 5022.0 6079.5 12
66 5075.25 4975.5 12
67 5470.5 7806.5 12
65 5022.0 6079.5 13
28 4689.0 2576.0 13
68 4680.0 2144.5 13
66 5075.25 4975.5 13
68 4680.0 2144.5 14
27 4671.0 1713.0 14
69 5128.5 3871.5 14
66 5075.25 4975.5 14
69 5128.5 3871.5 15
30 5586.0 6030.0 15
67 5470.5 7806.5 15
66 5075.25 4975.5 15
45 8894.0 6418.0 16
70 8682.5 7429.5 16
71 8557.0 4296.75 16
72 8759.0 3596.0 16
70 8682.5 7429.5 17
43 8471.0 8441.0 17
73 8355.0 4997.5 17
71 8557.0 4296.75 17
73 8355.0 4997.5 18
42 8239.0 1554.0 18
74 8431.5 1164.0 18
71 8557.0 4296.75 18
74 8431.5 1164.0 19
44 8624.0 774.0 19
72 8759.0 3596.0 19
71 8557.0 4296.75 19
32 6201.0 4201.0 20
75 5778.0 6892.0 20
76 5776.0 5548.0 20
77 6081.5 3289.5 20
75 5778.0 6892.0 21
29 5355.0 9583.0 21
67 5470.5 7806.5 21
76 5776.0 5548.0 21
67 5470.5 7806.5 22
30 5586.0 6030.0 22
78 5774.0 4204.0 22
76 5776.0 5548.0 22
78 5774.0 4204.0 23
31 5962.0 2378.0 23
77 6081.5 3289.5 23
76 5776.0 5548.0 23
42 8239.0 1554.0 24
79 7854.5 1699.5 24
80 6402.0 1244.25 24
74 8431.5 1164.0 24
79 7854.5 1699.5 25
38 7470.0 1845.0 25
81 4372.5 1324.5 25
80 6402.0 1244.25 25
81 4372.5 1324.5 26
6 1275.0 804.0 26
82 4949.5 789.0 26
80 6402.0 1244.25 26
82 4949.5 789.0 27
44 8624.0 774.0 27
74 8431.5 1164.0 27
80 6402.0 1244.25 27
10 1994.0 8195.0 28
83 1956.0 7597.0 28
84 1991.5 4763.75 28
85 2124.5 5389.0 28
83 1956.0 7597.0 29
9 1918.0 6999.0 29
86 1858.5 4138.5 29
84 1991.5 4763.75 29
86 1858.5 4138.5 30
8 1799.0 1278.0 30
87 2027.0 1930.5 30
84 1991.5 4763.75 30
87 2027.0 1930.5 31
11 2255.0 2583.0 31
85 2124.5 5389.0 31
84 1991.5 4763.75 31
