V x y Q
67 969.0 38.0 0
70 976.0 277.0 0
71 923.25 315.75 0
72 909.0 175.5 0
70 976.0 277.0 1
69 983.0 516.0 1
73 937.5 456.0 1
71 923.25 315.75 1
73 937.5 456.0 2
63 892.0 396.0 2
74 870.5 354.5 2
71 923.25 315.75 2
74 870.5 354.5 3
60 849.0 313.0 3
72 909.0 175.5 3
71 923.25 315.75 3
51 736.0 98.0 4
75 654.5 250.5 4
76 556.0 224.75 4
77 606.0 79.5 4
75 654.5 250.5 5
43 573.0 403.0 5
78 506.0 370.0 5
76 556.0 224.75 5
78 506.0 370.0 6
36 439.0 337.0 6
79 457.5 199.0 6
76 556.0 224.75 6
79 457.5 199.0 7
38 476.0 61.0 7
77 606.0 79.5 7
76 556.0 224.75 7
29 365.0 145.0 8
80 295.0 172.5 8
81 286.0 113.25 8
82 420.5 103.0 8
80 295.0 172.5 9
13 225.0 200.0 9
83 151.5 123.5 9
81 286.0 113.25 9
83 151.5 123.5 10
4 78.0 47.0 10
84 277.0 54.0 10
81 286.0 113.25 10
84 277.0 54.0 11
38 476.0 61.0 11
82 420.5 103.0 11
81 286.0 113.25 11
39 511.0 901.0 12
85 609.0 900.5 12
86 573.0 930.25 12
87 394.5 922.0 12
85 609.0 900.5 13
49 707.0 900.0 13
88 751.5 938.5 13
86 573.0 930.25 13
88 751.5 938.5 14
57 796.0 977.0 14
89 537.0 960.0 14
86 573.0 930.25 14
89 537.0 960.0 15
19 278.0 943.0 15
87 394.5 922.0 15
86 573.0 930.25 15
10 156.0 440.0 16
90 197.0 471.5 16
91 114.5 498.25 16
92 86.0 389.5 16
90 197.0 471.5 17
15 238.0 503.0 17
93 143.0 607.0 17
91 114.5 498.25 17
93 143.0 607.0 18
3 48.0 711.0 18
94 32.0 525.0 18
91 114.5 498.25 18
94 32.0 525.0 19
0 16.0 339.0 19
92 86.0 389.5 19
91 114.5 498.25 19
60 849.0 313.0 20
95 807.5 343.5 20
96 731.0 297.0 20
97 792.5 205.5 20
95 807.5 343.5 21
52 766.0 374.0 21
98 669.5 388.5 21
96 731.0 297.0 21
98 669.5 388.5 22
43 573.0 403.0 22
75 654.5 250.5 22
96 731.0 297.0 22
75 654.5 250.5 23
51 736.0 98.0 23
97 792.5 205.5 23
96 731.0 297.0 23
62 869.0 695.0 24
99 909.0 676.5 24
100 893.25 785.75 24
101 821.5 783.5 24
99 909.0 676.5 25
66 949.0 658.0 25
102 965.0 788.0 25
100 893.25 785.75 25
102 965.0 788.0 26
68 981.0 918.0 26
103 877.5 895.0 26
100 893.25 785.75 26
103 877.5 895.0 27
54 774.0 872.0 27
101 821.5 783.5 27
100 893.25 785.75 27
3 48.0 711.0 28
93 143.0 607.0 28
104 193.5 632.0 28
105 133.0 712.5 28
93 143.0 607.0 29
15 238.0 503.0 29
106 254.0 551.5 29
104 193.5 632.0 29
106 254.0 551.5 30
18 270.0 600.0 30
107 244.0 657.0 30
104 193.5 632.0 30
107 244.0 657.0 31
12 218.0 714.0 31
105 133.0 712.5 31
104 193.5 632.0 31
44 576.0 765.0 32
108 632.0 693.0 32
109 698.25 736.5 32
110 655.5 800.0 32
108 632.0 693.0 33
48 688.0 621.0 33
111 741.0 673.0 33
109 698.25 736.5 33
111 741.0 673.0 34
56 794.0 725.0 34
112 764.5 780.0 34
109 698.25 736.5 34
112 764.5 780.0 35
50 735.0 835.0 35
110 655.5 800.0 35
109 698.25 736.5 35
27 347.0 551.0 36
113 443.0 536.5 36
114 463.25 597.5 36
115 382.0 628.5 36
113 443.0 536.5 37
40 539.0 522.0 37
116 544.5 566.5 37
114 463.25 597.5 37
116 544.5 566.5 38
41 550.0 611.0 38
117 483.5 658.5 38
114 463.25 597.5 38
117 483.5 658.5 39
35 417.0 706.0 39
115 382.0 628.5 39
114 463.25 597.5 39
51 736.0 98.0 40
77 606.0 79.5 40
118 767.5 56.0 40
119 832.0 74.5 40
77 606.0 79.5 41
38 476.0 61.0 41
120 703.0 37.5 41
118 767.5 56.0 41
120 703.0 37.5 42
65 930.0 14.0 42
121 929.0 32.5 42
118 767.5 56.0 42
121 929.0 32.5 43
64 928.0 51.0 43
119 832.0 74.5 43
118 767.5 56.0 43
11 164.0 224.0 44
122 90.5 201.0 44
123 121.0 162.25 44
124 194.5 212.0 44
122 90.5 201.0 45
1 17.0 178.0 45
125 47.5 112.5 45
123 121.0 162.25 45
125 47.5 112.5 46
4 78.0 47.0 46
83 151.5 123.5 46
123 121.0 162.25 46
83 151.5 123.5 47
13 225.0 200.0 47
124 194.5 212.0 47
123 121.0 162.25 47
22 297.0 303.0 48
126 300.0 349.0 48
127 217.5 361.25 48
128 205.5 305.0 48
126 300.0 349.0 49
23 303.0 395.0 49
129 229.5 417.5 49
127 217.5 361.25 49
129 229.5 417.5 50
10 156.0 440.0 50
130 135.0 373.5 50
127 217.5 361.25 50
130 135.0 373.5 51
6 114.0 307.0 51
128 205.5 305.0 51
127 217.5 361.25 51
6 114.0 307.0 52
131 175.5 256.0 52
132 234.0 257.75 52
128 205.5 305.0 52
131 175.5 256.0 53
14 237.0 205.0 53
133 262.5 210.5 53
132 234.0 257.75 53
133 262.5 210.5 54
20 288.0 216.0 54
134 292.5 259.5 54
132 234.0 257.75 54
134 292.5 259.5 55
22 297.0 303.0 55
128 205.5 305.0 55
132 234.0 257.75 55
42 552.0 742.0 56
135 564.0 776.0 56
136 477.75 802.0 56
137 463.5 766.0 56
135 564.0 776.0 57
45 576.0 810.0 57
138 492.0 838.0 57
136 477.75 802.0 57
138 492.0 838.0 58
33 408.0 866.0 58
139 391.5 828.0 58
136 477.75 802.0 58
139 391.5 828.0 59
30 375.0 790.0 59
137 463.5 766.0 59
136 477.75 802.0 59
42 552.0 742.0 60
140 551.0 676.5 60
141 591.5 684.75 60
142 564.0 753.5 60
140 551.0 676.5 61
41 550.0 611.0 61
143 619.0 616.0 61
141 591.5 684.75 61
143 619.0 616.0 62
48 688.0 621.0 62
108 632.0 693.0 62
141 591.5 684.75 62
108 632.0 693.0 63
44 576.0 765.0 63
142 564.0 753.5 63
141 591.5 684.75 63
18 270.0 600.0 64
144 308.5 575.5 64
145 340.25 654.75 64
146 298.5 681.0 64
144 308.5 575.5 65
27 347.0 551.0 65
115 382.0 628.5 65
145 340.25 654.75 65
115 382.0 628.5 66
35 417.0 706.0 66
147 372.0 734.0 66
145 340.25 654.75 66
147 372.0 734.0 67
25 327.0 762.0 67
146 298.5 681.0 67
145 340.25 654.75 67
48 688.0 621.0 68
148 647.0 543.0 68
149 682.75 506.25 68
150 730.5 558.5 68
148 647.0 543.0 69
46 606.0 465.0 69
151 635.0 454.0 69
149 682.75 506.25 69
151 635.0 454.0 70
47 664.0 443.0 70
152 718.5 469.5 70
149 682.75 506.25 70
152 718.5 469.5 71
53 773.0 496.0 71
150 730.5 558.5 71
149 682.75 506.25 71
40 539.0 522.0 72
153 572.5 493.5 72
154 595.75 554.75 72
116 544.5 566.5 72
153 572.5 493.5 73
46 606.0 465.0 73
148 647.0 543.0 73
154 595.75 554.75 73
148 647.0 543.0 74
48 688.0 621.0 74
143 619.0 616.0 74
154 595.75 554.75 74
143 619.0 616.0 75
41 550.0 611.0 75
116 544.5 566.5 75
154 595.75 554.75 75
31 378.0 207.0 76
155 371.5 176.0 76
156 414.5 187.5 76
157 408.5 272.0 76
155 371.5 176.0 77
29 365.0 145.0 77
82 420.5 103.0 77
156 414.5 187.5 77
82 420.5 103.0 78
38 476.0 61.0 78
79 457.5 199.0 78
156 414.5 187.5 78
79 457.5 199.0 79
36 439.0 337.0 79
157 408.5 272.0 79
156 414.5 187.5 79
61 866.0 561.0 80
158 844.5 501.5 80
159 891.0 478.75 80
160 924.5 538.5 80
158 844.5 501.5 81
59 823.0 442.0 81
161 857.5 419.0 81
159 891.0 478.75 81
161 857.5 419.0 82
63 892.0 396.0 82
73 937.5 456.0 82
159 891.0 478.75 82
73 937.5 456.0 83
69 983.0 516.0 83
160 924.5 538.5 83
159 891.0 478.75 83
43 573.0 403.0 84
162 556.0 462.5 84
163 493.5 428.0 84
164 513.0 384.5 84
162 556.0 462.5 85
40 539.0 522.0 85
165 474.0 471.5 85
163 493.5 428.0 85
165 474.0 471.5 86
34 409.0 421.0 86
166 431.0 393.5 86
163 493.5 428.0 86
