V x y Q
0 265.0 344.0 0
27 266.0 296.0 0
28 269.67 295.33 0
29 271.0 319.0 0
27 266.0 296.0 1
1 267.0 248.0 1
30 272.0 271.0 1
28 269.67 295.33 1
30 272.0 271.0 2
2 277.0 294.0 2
29 271.0 319.0 2
28 269.67 295.33 2
1 267.0 248.0 3
31 282.0 226.0 3
32 296.67 229.67 3
33 296.5 242.5 3
31 282.0 226.0 4
3 297.0 204.0 4
34 311.5 220.5 4
32 296.67 229.67 4
34 311.5 220.5 5
7 326.0 237.0 5
33 296.5 242.5 5
32 296.67 229.67 5
4 315.0 160.0 6
35 306.0 182.0 6
36 293.0 204.0 6
37 291.0 204.0 6
35 306.0 182.0 7
3 297.0 204.0 7
31 282.0 226.0 7
36 293.0 204.0 7
31 282.0 226.0 8
1 267.0 248.0 8
37 291.0 204.0 8
36 293.0 204.0 8
3 297.0 204.0 9
35 306.0 182.0 9
38 328.33 191.0 9
39 335.0 206.5 9
35 306.0 182.0 10
4 315.0 160.0 10
40 344.0 184.5 10
38 328.33 191.0 10
40 344.0 184.5 11
11 373.0 209.0 11
39 335.0 206.5 11
38 328.33 191.0 11
7 326.0 237.0 12
41 301.5 265.5 12
42 290.0 259.67 12
33 296.5 242.5 12
41 301.5 265.5 13
2 277.0 294.0 13
30 272.0 271.0 13
42 290.0 259.67 13
30 272.0 271.0 14
1 267.0 248.0 14
33 296.5 242.5 14
42 290.0 259.67 14
0 265.0 344.0 15
43 294.5 320.5 15
44 303.0 333.33 15
45 292.5 351.5 15
43 294.5 320.5 16
6 324.0 297.0 16
46 322.0 328.0 16
44 303.0 333.33 16
46 322.0 328.0 17
5 320.0 359.0 17
45 292.5 351.5 17
44 303.0 333.33 17
6 324.0 297.0 18
43 294.5 320.5 18
47 288.67 311.67 18
48 300.5 295.5 18
43 294.5 320.5 19
0 265.0 344.0 19
29 271.0 319.0 19
47 288.67 311.67 19
29 271.0 319.0 20
2 277.0 294.0 20
48 300.5 295.5 20
47 288.67 311.67 20
7 326.0 237.0 21
49 325.0 267.0 21
50 309.0 276.0 21
41 301.5 265.5 21
49 325.0 267.0 22
6 324.0 297.0 22
48 300.5 295.5 22
50 309.0 276.0 22
48 300.5 295.5 23
2 277.0 294.0 23
41 301.5 265.5 23
50 309.0 276.0 23
4 315.0 160.0 24
51 347.5 164.5 24
52 356.0 179.33 24
40 344.0 184.5 24
51 347.5 164.5 25
13 380.0 169.0 25
53 376.5 189.0 25
52 356.0 179.33 25
53 376.5 189.0 26
11 373.0 209.0 26
40 344.0 184.5 26
52 356.0 179.33 26
8 342.0 263.0 27
54 333.0 280.0 27
55 330.67 265.67 27
56 334.0 250.0 27
54 333.0 280.0 28
6 324.0 297.0 28
49 325.0 267.0 28
55 330.67 265.67 28
49 325.0 267.0 29
7 326.0 237.0 29
56 334.0 250.0 29
55 330.67 265.67 29
6 324.0 297.0 30
54 333.0 280.0 30
57 348.0 275.0 30
58 351.0 281.0 30
54 333.0 280.0 31
8 342.0 263.0 31
59 360.0 264.0 31
57 348.0 275.0 31
59 360.0 264.0 32
12 378.0 265.0 32
58 351.0 281.0 32
57 348.0 275.0 32
4 315.0 160.0 33
60 337.5 135.5 33
61 351.67 146.67 33
51 347.5 164.5 33
60 337.5 135.5 34
9 360.0 111.0 34
62 370.0 140.0 34
61 351.67 146.67 34
62 370.0 140.0 35
13 380.0 169.0 35
51 347.5 164.5 35
61 351.67 146.67 35
8 342.0 263.0 36
63 357.5 236.0 36
64 364.33 245.67 36
59 360.0 264.0 36
63 357.5 236.0 37
11 373.0 209.0 37
65 375.5 237.0 37
64 364.33 245.67 37
65 375.5 237.0 38
12 378.0 265.0 38
59 360.0 264.0 38
64 364.33 245.67 38
10 361.0 335.0 39
66 340.5 347.0 39
67 335.0 330.33 39
68 342.5 316.0 39
66 340.5 347.0 40
5 320.0 359.0 40
46 322.0 328.0 40
67 335.0 330.33 40
46 322.0 328.0 41
6 324.0 297.0 41
68 342.5 316.0 41
67 335.0 330.33 41
11 373.0 209.0 42
63 357.5 236.0 42
69 347.0 236.33 42
70 349.5 223.0 42
63 357.5 236.0 43
8 342.0 263.0 43
56 334.0 250.0 43
69 347.0 236.33 43
56 334.0 250.0 44
7 326.0 237.0 44
70 349.5 223.0 44
69 347.0 236.33 44
12 378.0 265.0 45
71 369.5 300.0 45
72 354.33 299.0 45
58 351.0 281.0 45
71 369.5 300.0 46
10 361.0 335.0 46
68 342.5 316.0 46
72 354.33 299.0 46
68 342.5 316.0 47
6 324.0 297.0 47
58 351.0 281.0 47
72 354.33 299.0 47
11 373.0 209.0 48
70 349.5 223.0 48
73 332.0 216.67 48
39 335.0 206.5 48
70 349.5 223.0 49
7 326.0 237.0 49
34 311.5 220.5 49
73 332.0 216.67 49
34 311.5 220.5 50
3 297.0 204.0 50
39 335.0 206.5 50
73 332.0 216.67 50
11 373.0 209.0 51
53 376.5 189.0 51
74 398.67 187.67 51
75 408.0 197.0 51
53 376.5 189.0 52
13 380.0 169.0 52
76 411.5 177.0 52
74 398.67 187.67 52
76 411.5 177.0 53
19 443.0 185.0 53
75 408.0 197.0 53
74 398.67 187.67 53
14 396.0 231.0 54
77 387.0 248.0 54
78 382.33 235.0 54
79 384.5 220.0 54
77 387.0 248.0 55
12 378.0 265.0 55
65 375.5 237.0 55
78 382.33 235.0 55
65 375.5 237.0 56
11 373.0 209.0 56
79 384.5 220.0 56
78 382.33 235.0 56
12 378.0 265.0 57
77 387.0 248.0 57
80 396.67 255.33 57
81 397.0 267.5 57
77 387.0 248.0 58
14 396.0 231.0 58
82 406.0 250.5 58
80 396.67 255.33 58
82 406.0 250.5 59
17 416.0 270.0 59
81 397.0 267.5 59
80 396.67 255.33 59
15 400.0 306.0 60
83 380.5 320.5 60
84 379.67 302.0 60
85 389.0 285.5 60
83 380.5 320.5 61
10 361.0 335.0 61
71 369.5 300.0 61
84 379.67 302.0 61
71 369.5 300.0 62
12 378.0 265.0 62
85 389.0 285.5 62
84 379.67 302.0 62
15 400.0 306.0 63
86 408.0 288.0 63
87 423.33 297.0 63
88 427.0 310.5 63
86 408.0 288.0 64
17 416.0 270.0 64
89 435.0 292.5 64
87 423.33 297.0 64
89 435.0 292.5 65
21 454.0 315.0 65
88 427.0 310.5 65
87 423.33 297.0 65
16 411.0 387.0 66
90 386.0 361.0 66
91 390.67 342.67 66
92 405.5 346.5 66
90 386.0 361.0 67
10 361.0 335.0 67
83 380.5 320.5 67
91 390.67 342.67 67
83 380.5 320.5 68
15 400.0 306.0 68
92 405.5 346.5 68
91 390.67 342.67 68
16 411.0 387.0 69
93 365.5 373.0 69
94 364.0 360.33 69
90 386.0 361.0 69
93 365.5 373.0 70
5 320.0 359.0 70
66 340.5 347.0 70
94 364.0 360.33 70
66 340.5 347.0 71
10 361.0 335.0 71
90 386.0 361.0 71
94 364.0 360.33 71
16 411.0 387.0 72
95 338.0 365.5 72
96 332.0 363.33 72
93 365.5 373.0 72
95 338.0 365.5 73
0 265.0 344.0 73
45 292.5 351.5 73
96 332.0 363.33 73
45 292.5 351.5 74
5 320.0 359.0 74
93 365.5 373.0 74
96 332.0 363.33 74
13 380.0 169.0 75
97 400.5 153.0 75
98 414.67 163.67 75
76 411.5 177.0 75
97 400.5 153.0 76
18 421.0 137.0 76
99 432.0 161.0 76
98 414.67 163.67 76
99 432.0 161.0 77
19 443.0 185.0 77
76 411.5 177.0 77
98 414.67 163.67 77
14 396.0 231.0 78
100 419.5 208.0 78
101 427.33 219.0 78
102 419.5 236.0 78
100 419.5 208.0 79
19 443.0 185.0 79
103 443.0 213.0 79
101 427.33 219.0 79
103 443.0 213.0 80
20 443.0 241.0 80
102 419.5 236.0 80
101 427.33 219.0 80
17 416.0 270.0 81
86 408.0 288.0 81
104 398.0 280.33 81
81 397.0 267.5 81
86 408.0 288.0 82
15 400.0 306.0 82
85 389.0 285.5 82
104 398.0 280.33 82
85 389.0 285.5 83
12 378.0 265.0 83
81 397.0 267.5 83
104 398.0 280.33 83
18 421.0 137.0 84
97 400.5 153.0 84
105 387.0 139.0 84
106 390.5 124.0 84
97 400.5 153.0 85
13 380.0 169.0 85
62 370.0 140.0 85
105 387.0 139.0 85
62 370.0 140.0 86
9 360.0 111.0 86
106 390.5 124.0 86
105 387.0 139.0 86
19 443.0 185.0 87
100 419.5 208.0 87
107 404.0 208.33 87
75 408.0 197.0 87
100 419.5 208.0 88
14 396.0 231.0 88
79 384.5 220.0 88
107 404.0 208.33 88
79 384.5 220.0 89
11 373.0 209.0 89
75 408.0 197.0 89
