V x y Q
0 15.0 111.0 0
40 22.0 122.5 0
41 21.67 132.0 0
42 18.0 131.0 0
40 22.0 122.5 1
2 29.0 134.0 1
43 25.0 142.5 1
41 21.67 132.0 1
43 25.0 142.5 2
1 21.0 151.0 2
42 18.0 131.0 2
41 21.67 132.0 2
3 58.0 397.0 3
44 39.5 274.0 3
45 36.0 227.33 3
46 43.5 265.5 3
44 39.5 274.0 4
1 21.0 151.0 4
43 25.0 142.5 4
45 36.0 227.33 4
43 25.0 142.5 5
2 29.0 134.0 5
46 43.5 265.5 5
45 36.0 227.33 5
4 74.0 180.0 6
47 51.5 157.0 6
48 39.33 141.67 6
49 44.5 145.5 6
47 51.5 157.0 7
2 29.0 134.0 7
40 22.0 122.5 7
48 39.33 141.67 7
40 22.0 122.5 8
0 15.0 111.0 8
49 44.5 145.5 8
48 39.33 141.67 8
4 74.0 180.0 9
50 66.0 288.5 9
51 53.67 237.0 9
47 51.5 157.0 9
50 66.0 288.5 10
3 58.0 397.0 10
46 43.5 265.5 10
51 53.67 237.0 10
46 43.5 265.5 11
2 29.0 134.0 11
47 51.5 157.0 11
51 53.67 237.0 11
5 80.0 311.0 12
52 69.0 354.0 12
53 70.67 296.0 12
54 77.0 245.5 12
52 69.0 354.0 13
3 58.0 397.0 13
50 66.0 288.5 13
53 70.67 296.0 13
50 66.0 288.5 14
4 74.0 180.0 14
54 77.0 245.5 14
53 70.67 296.0 14
6 85.0 160.0 15
55 79.5 170.0 15
56 58.0 150.33 15
57 50.0 135.5 15
55 79.5 170.0 16
4 74.0 180.0 16
49 44.5 145.5 16
56 58.0 150.33 16
49 44.5 145.5 17
0 15.0 111.0 17
57 50.0 135.5 17
56 58.0 150.33 17
6 85.0 160.0 18
58 82.5 235.5 18
59 79.67 217.0 18
55 79.5 170.0 18
58 82.5 235.5 19
5 80.0 311.0 19
54 77.0 245.5 19
59 79.67 217.0 19
54 77.0 245.5 20
4 74.0 180.0 20
55 79.5 170.0 20
59 79.67 217.0 20
7 85.0 47.0 21
60 85.0 103.5 21
61 61.67 106.0 21
62 50.0 79.0 21
60 85.0 103.5 22
6 85.0 160.0 22
57 50.0 135.5 22
61 61.67 106.0 22
57 50.0 135.5 23
0 15.0 111.0 23
62 50.0 79.0 23
61 61.67 106.0 23
8 87.0 481.0 24
63 86.0 320.5 24
64 85.67 229.33 24
65 86.0 264.0 24
63 86.0 320.5 25
6 85.0 160.0 25
60 85.0 103.5 25
64 85.67 229.33 25
60 85.0 103.5 26
7 85.0 47.0 26
65 86.0 264.0 26
64 85.67 229.33 26
8 87.0 481.0 27
66 83.5 396.0 27
67 84.0 317.33 27
63 86.0 320.5 27
66 83.5 396.0 28
5 80.0 311.0 28
58 82.5 235.5 28
67 84.0 317.33 28
58 82.5 235.5 29
6 85.0 160.0 29
63 86.0 320.5 29
67 84.0 317.33 29
8 87.0 481.0 30
68 72.5 439.0 30
69 75.0 396.33 30
66 83.5 396.0 30
68 72.5 439.0 31
3 58.0 397.0 31
52 69.0 354.0 31
69 75.0 396.33 31
52 69.0 354.0 32
5 80.0 311.0 32
66 83.5 396.0 32
69 75.0 396.33 32
9 111.0 383.0 33
70 99.0 432.0 33
71 94.33 303.67 33
72 98.0 215.0 33
