t V0 V1 V2 t0 t1 t2
0 0 1 4 3 14 -1
1 2 4 10 3 7 11
2 3 0 2 4 9 3
3 4 2 0 0 1 2
4 5 3 2 7 8 2
5 1 6 8 6 41 -1
6 1 8 11 5 10 34
7 10 5 2 1 13 4
8 7 3 5 9 28 4
9 7 0 3 8 2 -1
10 1 11 14 6 14 18
11 4 9 10 1 12 15
12 13 9 4 17 19 11
13 5 10 18 7 28 26
14 14 4 1 10 19 0
15 12 10 9 16 17 11
16 10 12 17 15 26 27
17 13 12 9 12 25 15
18 11 15 14 10 21 24
19 14 13 4 14 20 12
20 13 14 19 19 29 24
21 11 16 15 18 22 23
22 11 22 16 21 35 23
23 15 16 22 21 36 22
24 19 14 15 20 36 18
25 12 13 21 17 27 40
26 10 17 18 13 16 38
27 21 17 12 25 33 16
28 18 7 5 13 31 8
29 13 19 24 20 40 47
30 18 23 20 31 38 39
31 20 7 18 30 45 28
32 19 22 28 36 43 46
33 17 21 23 27 38 37
34 25 11 8 35 41 6
35 11 25 22 22 34 42
36 22 19 15 23 32 24
37 21 24 23 33 40 44
38 23 18 17 30 33 26
39 20 23 26 30 45 49
40 24 21 13 29 37 25
41 25 8 6 34 82 5
42 22 25 27 35 46 52
43 19 28 32 32 47 56
44 23 24 30 37 48 54
45 26 7 20 39 50 31
46 27 28 22 42 53 32
47 32 24 19 43 54 29
48 23 30 36 44 62 58
49 29 26 23 50 65 39
50 29 7 26 49 45 -1
51 28 31 33 53 56 63
52 31 27 25 53 67 42
53 31 28 27 51 52 46
54 32 30 24 47 55 44
55 30 32 35 54 59 69
56 33 32 28 51 57 43
57 32 33 39 56 69 71
58 30 34 36 48 59 61
59 35 34 30 55 60 58
60 39 34 35 61 69 59
61 34 39 36 58 60 64
62 23 36 37 48 65 64
63 40 33 31 68 70 51
64 39 37 36 61 81 62
65 37 29 23 62 78 49
66 38 25 44 67 73 79
67 38 31 25 66 68 52
68 31 38 40 63 67 74
69 39 35 32 57 60 55
70 33 40 41 63 71 76
71 41 39 33 70 72 57
72 39 41 49 71 85 84
73 44 42 38 66 80 74
74 42 40 38 73 75 68
75 40 42 47 74 76 80
76 47 41 40 75 84 70
77 37 45 43 78 81 89
78 43 29 37 77 65 -1
79 25 46 44 66 82 83
80 42 44 47 73 75 83
81 45 37 39 77 85 64
82 46 25 6 79 86 41
83 44 46 47 79 80 87
84 41 47 49 72 76 88
85 49 45 39 72 89 81
86 48 46 6 87 82 -1
87 48 47 46 86 88 83
88 49 47 48 84 87 -1
89 49 43 45 85 77 -1
