V x y t
0 15 111 0
2 29 134 0
1 21 151 0
3 58 397 1
1 21 151 1
2 29 134 1
4 74 180 2
2 29 134 2
0 15 111 2
4 74 180 3
3 58 397 3
2 29 134 3
5 80 311 4
3 58 397 4
4 74 180 4
6 85 160 5
4 74 180 5
0 15 111 5
6 85 160 6
5 80 311 6
4 74 180 6
7 85 47 7
6 85 160 7
0 15 111 7
8 87 481 8
6 85 160 8
7 85 47 8
8 87 481 9
5 80 311 9
6 85 160 9
8 87 481 10
3 58 397 10
5 80 311 10
9 111 383 11
8 87 481 11
7 85 47 11
10 119 139 12
9 111 383 12
7 85 47 12
11 160 112 13
10 119 139 13
7 85 47 13
11 160 112 14
9 111 383 14
10 119 139 14
12 165 307 15
9 111 383 15
11 160 112 15
12 165 307 16
8 87 481 16
9 111 383 16
13 169 167 17
12 165 307 17
11 160 112 17
14 172 309 18
12 165 307 18
13 169 167 18
14 172 309 19
8 87 481 19
12 165 307 19
15 173 412 20
8 87 481 20
14 172 309 20
16 181 330 21
14 172 309 21
13 169 167 21
16 181 330 22
15 173 412 22
14 172 309 22
17 188 144 23
13 169 167 23
11 160 112 23
17 188 144 24
16 181 330 24
13 169 167 24
18 198 42 25
11 160 112 25
7 85 47 25
18 198 42 26
17 188 144 26
11 160 112 26
18 198 42 27
16 181 330 27
17 188 144 27
19 229 55 28
16 181 330 28
18 198 42 28
19 229 55 29
15 173 412 29
16 181 330 29
20 235 435 30
15 173 412 30
19 229 55 30
20 235 435 31
8 87 481 31
15 173 412 31
21 238 290 32
20 235 435 32
19 229 55 32
22 247 188 33
21 238 290 33
19 229 55 33
22 247 188 34
20 235 435 34
21 238 290 34
23 270 86 35
22 247 188 35
19 229 55 35
23 270 86 36
20 235 435 36
22 247 188 36
24 313 37 37
19 229 55 37
18 198 42 37
24 313 37 38
23 270 86 38
19 229 55 38
24 313 37 39
20 235 435 39
23 270 86 39
25 321 135 40
20 235 435 40
24 313 37 40
26 344 149 41
25 321 135 41
24 313 37 41
26 344 149 42
20 235 435 42
25 321 135 42
27 356 97 43
26 344 149 43
24 313 37 43
28 369 267 44
26 344 149 44
27 356 97 44
28 369 267 45
20 235 435 45
26 344 149 45
29 379 220 46
28 369 267 46
27 356 97 46
30 395 344 47
28 369 267 47
29 379 220 47
30 395 344 48
20 235 435 48
28 369 267 48
31 405 109 49
27 356 97 49
24 313 37 49
31 405 109 50
29 379 220 50
27 356 97 50
31 405 109 51
30 395 344 51
29 379 220 51
32 416 142 52
30 395 344 52
31 405 109 52
33 431 131 53
32 416 142 53
31 405 109 53
33 431 131 54
30 395 344 54
32 416 142 54
34 442 76 55
31 405 109 55
24 313 37 55
34 442 76 56
33 431 131 56
31 405 109 56
34 442 76 57
30 395 344 57
33 431 131 57
35 464 165 58
30 395 344 58
34 442 76 58
36 466 152 59
35 464 165 59
34 442 76 59
37 473 192 60
35 464 165 60
36 466 152 60
37 473 192 61
30 395 344 61
35 464 165 61
38 485 249 62
37 473 192 62
36 466 152 62
38 485 249 63
30 395 344 63
37 473 192 63
39 498 157 64
36 466 152 64
34 442 76 64
39 498 157 65
38 485 249 65
36 466 152 65
