V x y t
0 15 111 0
2 29 134 0
1 21 151 0
1 21 151 1
4 74 180 1
5 80 311 1
2 29 134 2
6 85 160 2
4 74 180 2
4 74 180 3
1 21 151 3
2 29 134 3
5 80 311 4
3 58 397 4
1 21 151 4
2 29 134 5
7 85 47 5
10 119 139 5
4 74 180 6
6 85 160 6
13 169 167 6
7 85 47 7
2 29 134 7
0 15 111 7
5 80 311 8
12 165 307 8
9 111 383 8
9 111 383 9
3 58 397 9
5 80 311 9
3 58 397 10
9 111 383 10
8 87 481 10
6 85 160 11
10 119 139 11
13 169 167 11
10 119 139 12
6 85 160 12
2 29 134 12
11 160 112 13
10 119 139 13
7 85 47 13
10 119 139 14
11 160 112 14
13 169 167 14
12 165 307 15
5 80 311 15
4 74 180 15
12 165 307 16
16 181 330 16
9 111 383 16
13 169 167 17
12 165 307 17
4 74 180 17
12 165 307 18
13 169 167 18
21 238 290 18
16 181 330 19
12 165 307 19
14 172 309 19
15 173 412 20
8 87 481 20
9 111 383 20
21 238 290 21
14 172 309 21
12 165 307 21
16 181 330 22
15 173 412 22
9 111 383 22
17 188 144 23
13 169 167 23
11 160 112 23
13 169 167 24
17 188 144 24
22 247 188 24
18 198 42 25
11 160 112 25
7 85 47 25
11 160 112 26
18 198 42 26
19 229 55 26
19 229 55 27
17 188 144 27
11 160 112 27
17 188 144 28
19 229 55 28
23 270 86 28
22 247 188 29
21 238 290 29
13 169 167 29
20 235 435 30
15 173 412 30
16 181 330 30
20 235 435 31
8 87 481 31
15 173 412 31
21 238 290 32
20 235 435 32
16 181 330 32
21 238 290 33
16 181 330 33
14 172 309 33
25 321 135 34
22 247 188 34
23 270 86 34
23 270 86 35
22 247 188 35
17 188 144 35
23 270 86 36
24 313 37 36
27 356 97 36
24 313 37 37
19 229 55 37
18 198 42 37
24 313 37 38
23 270 86 38
19 229 55 38
22 247 188 39
25 321 135 39
26 344 149 39
22 247 188 40
26 344 149 40
29 379 220 40
25 321 135 41
27 356 97 41
26 344 149 41
28 369 267 42
21 238 290 42
22 247 188 42
27 356 97 43
25 321 135 43
23 270 86 43
29 379 220 44
28 369 267 44
22 247 188 44
21 238 290 45
28 369 267 45
30 395 344 45
26 344 149 46
31 405 109 46
32 416 142 46
28 369 267 47
38 485 249 47
30 395 344 47
30 395 344 48
20 235 435 48
21 238 290 48
27 356 97 49
34 442 76 49
31 405 109 49
31 405 109 50
26 344 149 50
27 356 97 50
32 416 142 51
29 379 220 51
26 344 149 51
29 379 220 52
32 416 142 52
35 464 165 52
33 431 131 53
32 416 142 53
31 405 109 53
35 464 165 54
37 473 192 54
29 379 220 54
34 442 76 55
27 356 97 55
24 313 37 55
34 442 76 56
33 431 131 56
31 405 109 56
33 431 131 57
34 442 76 57
36 466 152 57
35 464 165 58
32 416 142 58
33 431 131 58
36 466 152 59
35 464 165 59
33 431 131 59
35 464 165 60
36 466 152 60
39 498 157 60
29 379 220 61
37 473 192 61
38 485 249 61
37 473 192 62
39 498 157 62
38 485 249 62
38 485 249 63
28 369 267 63
29 379 220 63
39 498 157 64
36 466 152 64
34 442 76 64
39 498 157 65
37 473 192 65
35 464 165 65
