Distance V0 V1 t0 t1
152.21038072352357 16 0 25 57
148.2733961302566 29 31 53 54
146.05478424207814 17 1 26 50
134.13426109685773 31 16 56 57
129.86916493148016 30 17 50 51
118.25819210524065 0 3 0 1
109.04127658827184 11 1 14 26
98.76234100101111 21 31 45 56
86.49277426467485 1 3 0 2
85.0 31 28 54 55
82.38931969618392 25 17 39 51
81.00617260431454 16 8 24 25
75.16648189186454 7 0 8 10
74.73285756613353 25 27 41 49
71.56814934033156 8 0 10 25
70.178344238091 30 29 52 53
66.75327707311455 11 4 14 15
66.73080248281148 2 0 1 8
65.11528238439882 10 7 9 13
64.1248781675256 29 28 47 54
64.03124237432849 26 31 45 55
63.03173803727769 29 25 49 52
62.008063991709975 20 26 38 44
60.21627686929838 22 27 41 42
59.50630218724736 4 3 2 3
59.304300012730955 7 12 13 18
58.309518948453004 9 14 16 20
58.25804665451803 13 20 29 30
58.05170109479997 9 4 11 15
57.68882040742383 23 20 34 37
57.48912940721924 28 26 48 55
57.3149195236284 14 22 31 32
57.245087125446844 12 8 18 24
57.008771254956905 16 15 23 35
56.04462507680822 10 12 13 22
54.12947441089744 11 9 15 16
53.81449618829485 15 21 33 35
53.009433122794285 3 2 1 5
52.88667128870941 13 9 19 20
52.77309920783504 13 15 17 30
52.611785751863614 17 14 27 28
52.32590180780451 30 25 51 52
51.62363799656123 14 18 21 32
51.40038910358559 4 1 2 14
51.15662224971466 20 21 33 44
50.59644256269407 25 19 39 40
50.59644256269407 23 24 37 46
50.47771785649585 14 19 28 31
50.32891812864648 25 22 40 41
50.11985634456667 10 15 17 22
49.648766349225646 9 6 6 12
49.09175083453431 6 2 5 7
49.0 6 7 7 9
48.0 20 24 37 38
47.70744176750625 3 6 4 5
46.84015371452148 26 21 44 45
46.8187996428785 24 27 43 46
46.529560496527374 2 7 7 8
46.518813398452025 22 18 32 36
46.32493928760187 17 11 26 27
44.944410108488455 9 10 12 19
44.82186966202994 10 13 17 19
44.294469180700204 21 16 35 56
44.01136216933078 10 6 9 12
43.9089968002003 27 28 43 47
43.01162633521314 5 6 4 6
41.725292090050125 15 12 22 23
41.617304093369626 17 19 28 39
41.10960958218894 11 14 16 27
41.0 5 9 6 11
40.36087214122114 16 12 23 24
40.0 13 18 21 29
39.05124837953328 4 5 3 11
39.0 20 15 30 33
38.600518131237564 23 18 34 36
38.470768123342694 24 28 43 48
38.01315561749642 24 26 38 48
37.33630940518894 18 20 29 34
36.76955262170048 27 29 47 49
36.124783736376884 14 13 20 21
35.35533905932738 22 23 36 42
32.984845004941285 8 7 10 18
32.2490309931942 27 23 42 46
30.886890422961002 3 5 3 4
26.627053911388693 19 22 31 40
