Distance V0 V1 t0 t1
889.2496837221818 10 5 13 14
866.6544870939052 9 5 11 13
853.7593337703548 11 10 14 16
810.38571063414 7 5 8 9
783.9317572340082 8 5 9 11
751.023967660154 56 55 102 103
723.2793374623666 58 55 105 106
723.0691529860751 52 51 95 96
722.847840143415 50 47 91 92
704.3756100263552 5 1 4 6
698.0064469616308 51 50 92 95
695.1007121273866 59 55 106 107
659.7287321316239 49 47 88 91
652.147989339843 26 24 41 44
646.2793513644081 1 2 0 1
637.1946327457568 23 21 35 38
622.4186693858082 21 19 33 34
618.0291255272683 74 73 136 138
612.7846277445282 18 13 26 27
599.4263924786761 27 24 44 45
570.9789838514198 61 55 109 110
562.0320275571491 48 47 85 88
561.0570380986233 25 24 39 41
558.0367371419197 60 55 107 109
553.2928700064731 36 4 63 65
551.0734978203906 63 62 114 115
548.0009124079995 38 37 67 68
544.2352432542384 22 21 34 35
539.4089357806375 3 1 1 4
533.0084427098693 55 54 98 102
528.2736033534138 62 61 110 114
523.5971734071909 37 35 64 67
521.0153548601039 19 18 27 30
519.0780288164776 24 23 38 39
515.6937075435379 52 10 94 100
511.16533528790865 50 10 89 94
511.066531872319 75 73 138 142
508.25190604659804 78 77 144 146
502.5236312851367 15 10 19 22
502.28776612615195 36 35 60 64
496.09878048630605 12 11 16 17
496.0493927019768 77 76 143 144
492.40633627117353 20 19 30 33
484.5946759922151 68 66 125 126
469.00106609686935 73 72 135 136
467.57459297955876 26 4 43 63
455.18567640030153 71 68 128 132
454.00991178607546 57 56 103 104
436.13873939378516 13 12 17 18
433.11545804785123 16 15 22 23
427.0 47 46 81 85
426.3578309354714 58 57 104 105
418.0011961705373 42 41 73 75
414.27165000757657 64 62 115 117
412.0012135904457 28 26 46 47
409.0048899463184 69 68 126 127
409.0048899463184 6 5 6 8
407.12283158771635 41 39 72 73
403.0111660984097 44 43 76 78
401.6590594023742 7 6 7 8
394.0 53 52 96 97
378.2195129815488 35 21 57 66
370.563085047607 38 21 66 70
366.0833238485468 71 37 131 141
364.5888094826828 12 10 16 19
361.8314524747676 76 37 141 145
359.0013927549586 28 27 45 46
351.6276439644642 68 67 124 125
347.05186932215196 45 43 78 80
330.05605584506395 33 24 52 58
329.1519405988669 53 51 96 99
320.764711276038 49 21 86 90
319.08149429260226 66 37 120 131
310.0258053775524 43 42 75 76
309.59489659876505 65 62 117 118
308.7345137816632 18 15 25 26
304.20059171540083 15 13 21 26
303.02640149003514 66 65 118 121
300.18827425467504 50 21 89 90
300.1066477104431 35 34 59 60
298.0067113338221 54 53 97 98
297.57688082241873 6 1 6 7
297.1363323459452 57 55 103 105
285.0438562747845 41 21 70 86
280.3016232560918 39 37 68 74
277.0415131347647 72 68 132 135
271.81243532995325 17 15 23 25
270.1481075262235 25 11 40 42
270.0685098266734 42 37 74 77
270.0074073057997 26 11 42 43
268.26852219371546 39 38 68 69
267.0 33 32 54 55
255.88473967784793 0 2 0 3
253.19755133097158 41 40 71 72
253.02371430362018 35 24 57 58
251.4537730876194 29 28 47 48
248.72675770813242 77 75 142 143
248.29015284541592 76 75 139 143
245.96137908216403 65 63 116 123
245.75190741884384 28 24 45 52
239.2091135387613 46 45 80 81
237.41314201197878 68 58 122 134
237.13498265755732 23 11 37 40
235.05318547086316 55 53 98 99
233.13729860320507 71 70 128 129
227.72790781983662 14 12 18 20
222.05629916757593 70 68 127 128
218.1857007230309 56 54 101 102
217.0184323968819 46 41 79 84
215.13948963405116 30 26 49 50
212.55822731665785 66 51 119 120
211.80415482232638 21 10 31 89
210.686971595303 14 13 18 21
205.29490982486632 34 33 55 59
205.1389772812568 30 28 48 53
203.54115063052976 36 34 60 61
200.5841469309078 11 4 15 43
194.61243536834948 73 68 134 135
188.26576959181932 47 45 81 82
187.25650856512303 19 11 28 37
187.0240626229684 70 69 127 129
186.06719216455116 4 3 2 5
183.1529415543196 68 65 123 124
179.33767033169582 72 71 132 137
178.7568180517879 11 5 14 15
178.70926109186394 44 37 77 83
177.59786034747154 62 51 111 119
170.14405661086136 67 65 121 124
165.60495161679196 5 3 4 5
165.41160781517118 20 16 29 32
164.40194646049662 29 26 47 49
162.3730273167314 17 16 23 24
161.2513565834409 31 30 50 51
156.08010763707208 73 58 133 134
154.0 40 39 69 72
153.0 63 58 112 122
149.164338901763 74 72 136 137
145.33065746772084 76 74 139 140
140.73023839957068 41 38 70 71
139.60659010233007 60 59 107 108
138.3618444514238 32 30 51 54
138.32208789632986 15 12 19 20
137.13132391981054 64 63 115 116
135.1332675546625 48 46 84 85
133.66375724181927 61 59 108 113
133.0338302838793 67 66 121 125
132.63860674780926 47 44 82 83
130.86252328302402 21 20 32 33
130.728726758888 18 16 24 29
130.58713566044705 16 10 22 31
129.38701635017324 33 30 53 54
126.46343345014796 24 21 38 57
123.89108119634764 76 71 140 141
122.71104269787622 36 31 61 62
122.49489785293099 56 52 100 101
122.29881438509534 63 59 112 113
114.6298390472568 40 38 69 71
114.12712210513328 9 7 10 12
113.70136322841518 19 13 27 28
111.94641575325224 62 55 110 111
111.32385189167684 75 74 138 139
110.60289327137875 36 26 62 63
109.88175462741755 65 64 116 117
109.17875251164945 46 43 79 80
108.11567878897121 43 41 75 79
107.01868995647443 3 2 1 2
106.5269918846862 51 37 93 120
105.36128321162381 9 8 10 11
100.16985574512924 49 48 87 88
96.88137075826292 35 33 58 59
96.40020746865642 22 19 34 36
96.02083107326243 54 52 97 101
95.18928511129812 55 51 99 111
94.83142938920619 23 22 35 36
93.53608929178085 15 14 20 21
93.2630687893123 44 42 76 77
91.41115905621152 26 25 41 42
88.23264701911646 33 28 52 53
86.31338250816034 68 63 122 123
85.84287972802403 34 31 56 61
85.38149682454625 48 41 84 87
82.37718130647589 23 19 36 37
81.59656855530139 21 16 31 32
79.37883848986455 69 66 126 130
79.30952023559341 4 2 2 3
73.60027173862879 13 11 17 28
71.42128534267637 31 26 50 62
69.63476143421474 25 23 39 40
63.12685640834653 50 49 90 91
62.968245965724655 34 32 55 56
62.22539674441619 47 37 83 93
56.080299571239806 45 44 78 82
54.405882034941776 49 41 86 87
53.0 27 26 44 46
50.96076922496363 30 29 48 49
47.29693436154187 71 69 129 130
47.01063709417263 71 66 130 131
47.01063709417263 58 56 104 133
44.94441010848846 51 47 92 93
44.181444068749045 66 62 118 119
41.036569057366385 8 7 9 10
40.311288741492746 18 17 24 25
37.64306044943742 20 18 29 30
36.06937759374287 38 35 66 67
34.9857113690718 74 71 137 140
34.713109915419565 63 61 113 114
31.016124838541646 59 58 106 112
28.425340807103794 5 4 5 15
28.178005607210743 52 50 94 95
25.942243542145697 78 76 144 145
24.186773244895647 10 9 12 13
24.16609194718914 61 60 108 109
23.021728866442675 32 31 51 56
22.472205054244228 37 36 64 65
15.556349186104047 42 39 73 74
