V x y Q
58 742 102 0
37 437 75 0
24 301 26 0
65 811 104 0
0 10 19 1
1 29 38 1
3 38 417 1
2 33 705 1
63 804 735 2
56 672 598 2
57 684 406 2
77 896 561 2
87 956 346 3
88 985 190 3
89 997 647 3
86 952 565 3
62 803 980 4
22 227 974 4
35 408 914 4
45 522 921 4
87 956 346 5
77 896 561 5
57 684 406 5
60 795 300 5
62 803 980 6
45 522 921 6
46 527 849 6
59 777 834 6
63 804 735 7
59 777 834 7
46 527 849 7
50 569 699 7
52 576 183 8
58 742 102 8
61 803 278 8
55 655 367 8
13 129 697 9
5 63 651 9
19 214 476 9
25 308 642 9
5 63 651 10
2 33 705 10
3 38 417 10
15 145 432 10
63 804 735 11
50 569 699 11
53 580 665 11
54 591 647 11
18 171 85 12
24 301 26 12
29 327 244 12
8 106 242 12
29 327 244 13
24 301 26 13
37 437 75 13
40 463 212 13
51 576 572 14
47 529 631 14
31 361 582 14
36 413 468 14
57 684 406 15
56 672 598 15
51 576 572 15
49 546 449 15
32 382 800 16
26 309 931 16
17 170 800 16
23 275 741 16
81 915 816 17
82 924 753 17
89 997 647 17
85 927 933 17
3 38 417 18
1 29 38 18
8 106 242 18
14 132 348 18
22 227 974 19
12 128 865 19
17 170 800 19
26 309 931 19
47 529 631 20
39 460 732 20
25 308 642 20
31 361 582 20
52 576 183 21
40 463 212 21
37 437 75 21
58 742 102 21
28 321 429 22
20 215 341 22
30 341 255 22
34 407 369 22
39 460 732 23
32 382 800 23
23 275 741 23
25 308 642 23
61 803 278 24
58 742 102 24
65 811 104 24
74 878 223 24
61 803 278 25
74 878 223 25
87 956 346 25
60 795 300 25
16 166 38 26
1 29 38 26
0 10 19 26
24 301 26 26
60 795 300 27
57 684 406 27
55 655 367 27
61 803 278 27
44 518 300 28
52 576 183 28
55 655 367 28
48 543 436 28
23 275 741 29
17 170 800 29
13 129 697 29
25 308 642 29
1 29 38 30
16 166 38 30
18 171 85 30
8 106 242 30
29 327 244 31
30 341 255 31
20 215 341 31
8 106 242 31
46 527 849 32
43 498 866 32
32 382 800 32
39 460 732 32
49 546 449 33
48 543 436 33
55 655 367 33
57 684 406 33
63 804 735 34
77 896 561 34
76 896 635 34
73 875 754 34
49 546 449 35
51 576 572 35
36 413 468 35
42 497 423 35
10 112 740 36
7 92 871 36
4 41 854 36
9 107 739 36
30 341 255 37
29 327 244 37
40 463 212 37
38 457 280 37
12 128 865 38
7 92 871 38
10 112 740 38
17 170 800 38
33 397 465 39
36 413 468 39
31 361 582 39
27 315 543 39
27 315 543 40
25 308 642 40
19 214 476 40
28 321 429 40
35 408 914 41
26 309 931 41
32 382 800 41
43 498 866 41
39 460 732 42
47 529 631 42
50 569 699 42
46 527 849 42
74 878 223 43
78 906 139 43
88 985 190 43
87 956 346 43
21 225 408 44
15 145 432 44
14 132 348 44
20 215 341 44
34 407 369 45
41 481 367 45
42 497 423 45
36 413 468 45
40 463 212 46
52 576 183 46
44 518 300 46
38 457 280 46
38 457 280 47
41 481 367 47
34 407 369 47
30 341 255 47
76 896 635 48
86 952 565 48
89 997 647 48
84 927 688 48
33 397 465 49
28 321 429 49
34 407 369 49
36 413 468 49
69 837 901 50
80 911 855 50
85 927 933 50
71 846 960 50
80 911 855 51
69 837 901 51
64 809 831 51
68 833 806 51
63 804 735 52
54 591 647 52
51 576 572 52
56 672 598 52
13 129 697 53
11 117 728 53
2 33 705 53
5 63 651 53
41 481 367 54
44 518 300 54
48 543 436 54
42 497 423 54
59 777 834 55
64 809 831 55
69 837 901 55
66 816 927 55
73 875 754 56
76 896 635 56
84 927 688 56
82 924 753 56
68 833 806 57
79 906 779 57
81 915 816 57
80 911 855 57
21 225 408 58
19 214 476 58
5 63 651 58
15 145 432 58
22 227 974 59
6 69 919 59
7 92 871 59
12 128 865 59
59 777 834 60
63 804 735 60
67 822 780 60
64 809 831 60
79 906 779 61
68 833 806 61
67 822 780 61
73 875 754 61
47 529 631 62
51 576 572 62
54 591 647 62
53 580 665 62
71 846 960 63
70 841 959 63
66 816 927 63
69 837 901 63
75 895 980 64
71 846 960 64
85 927 933 64
83 926 972 64
77 896 561 65
87 956 346 65
86 952 565 65
76 896 635 65
75 895 980 66
62 803 980 66
70 841 959 66
71 846 960 66
11 117 728 67
10 112 740 67
9 107 739 67
2 33 705 67
4 41 854 68
7 92 871 68
6 69 919 68
3 38 417 69
14 132 348 69
15 145 432 69
9 107 739 70
4 41 854 70
2 33 705 70
10 112 740 71
11 117 728 71
17 170 800 71
11 117 728 72
13 129 697 72
17 170 800 72
20 215 341 73
14 132 348 73
8 106 242 73
19 214 476 74
21 225 408 74
28 321 429 74
24 301 26 75
18 171 85 75
16 166 38 75
25 308 642 76
27 315 543 76
31 361 582 76
27 315 543 77
28 321 429 77
33 397 465 77
28 321 429 78
21 225 408 78
20 215 341 78
35 408 914 79
22 227 974 79
26 309 931 79
44 518 300 80
41 481 367 80
38 457 280 80
43 498 866 81
46 527 849 81
45 522 921 81
45 522 921 82
35 408 914 82
43 498 866 82
42 497 423 83
48 543 436 83
49 546 449 83
53 580 665 84
50 569 699 84
47 529 631 84
64 809 831 85
67 822 780 85
68 833 806 85
66 816 927 86
62 803 980 86
59 777 834 86
70 841 959 87
62 803 980 87
66 816 927 87
65 811 104 88
72 872 137 88
74 878 223 88
73 875 754 89
67 822 780 89
63 804 735 89
78 906 139 90
72 872 137 90
65 811 104 90
78 906 139 91
74 878 223 91
72 872 137 91
79 906 779 92
82 924 753 92
81 915 816 92
82 924 753 93
79 906 779 93
73 875 754 93
84 927 688 94
89 997 647 94
82 924 753 94
85 927 933 95
80 911 855 95
81 915 816 95
89 997 647 96
83 926 972 96
85 927 933 96
