V x y Q
7 60.0 60.0 0
9 47.5 65.0 0
10 46.25 45.0 0
11 55.0 35.0 0
9 47.5 65.0 1
4 35.0 70.0 1
12 37.5 55.0 1
10 46.25 45.0 1
12 37.5 55.0 2
5 40.0 40.0 2
13 45.0 25.0 2
10 46.25 45.0 2
13 45.0 25.0 3
6 50.0 10.0 3
11 55.0 35.0 3
10 46.25 45.0 3
4 35.0 70.0 4
14 25.0 60.0 4
15 30.0 43.75 4
12 37.5 55.0 4
14 25.0 60.0 5
1 15.0 50.0 5
16 22.5 32.5 5
15 30.0 43.75 5
16 22.5 32.5 6
3 30.0 15.0 6
17 35.0 27.5 6
15 30.0 43.75 6
17 35.0 27.5 7
5 40.0 40.0 7
12 37.5 55.0 7
15 30.0 43.75 7
3 30.0 15.0 8
16 22.5 32.5 8
18 20.0 26.25 8
19 27.5 12.5 8
16 22.5 32.5 9
1 15.0 50.0 9
20 12.5 40.0 9
18 20.0 26.25 9
20 12.5 40.0 10
0 10.0 30.0 10
21 17.5 20.0 10
18 20.0 26.25 10
21 17.5 20.0 11
2 25.0 10.0 11
19 27.5 12.5 11
18 20.0 26.25 11
6 50.0 10.0 12
22 40.0 12.5 12
23 35.0 11.67 12
24 37.5 10.0 12
22 40.0 12.5 13
3 30.0 15.0 13
19 27.5 12.5 13
23 35.0 11.67 13
19 27.5 12.5 14
2 25.0 10.0 14
24 37.5 10.0 14
23 35.0 11.67 14
6 50.0 10.0 15
13 45.0 25.0 15
25 40.0 21.67 15
22 40.0 12.5 15
13 45.0 25.0 16
5 40.0 40.0 16
17 35.0 27.5 16
25 40.0 21.67 16
17 35.0 27.5 17
3 30.0 15.0 17
22 40.0 12.5 17
25 40.0 21.67 17
8 65.0 20.0 18
26 62.5 40.0 18
27 58.33 30.0 18
28 57.5 15.0 18
26 62.5 40.0 19
7 60.0 60.0 19
11 55.0 35.0 19
27 58.33 30.0 19
11 55.0 35.0 20
6 50.0 10.0 20
28 57.5 15.0 20
27 58.33 30.0 20
